station_id,grid_id,cell_x,cell_y,center_lon,center_lat,source_region,brand,is_self
A0000002,G500_1918_3923,959000,1961500,127.03802411,37.65434185,서울,HD현대오일뱅크,일반
A0000003,G500_1921_3973,960500,1986500,127.05367672,37.87973182,경기,HD현대오일뱅크,일반
A0000004,G500_1890_3879,945000,1939500,126.88095834,37.45532634,경기,GS칼텍스,셀프
A0000006,G500_2132_3816,1066000,1908000,128.24624761,37.17065847,충북,HD현대오일뱅크,일반
A0000009,G500_1849_3689,924500,1844500,126.65868833,36.59761156,충남,HD현대오일뱅크,일반
A0000010,G500_1903_3532,951500,1766000,126.96538071,35.89166879,전북,HD현대오일뱅크,일반
A0000011,G500_1884_3891,942000,1945500,126.84656942,37.50922244,서울,HD현대오일뱅크,셀프
A0000012,G500_1925_3839,962500,1919500,127.07982595,37.27592459,경기,GS칼텍스,셀프
A0000013,G500_1852_3878,926000,1939000,126.66619926,37.44949948,인천,HD현대오일뱅크,일반
A0000014,G500_2123_4025,1061500,2012500,128.20440044,38.11280178,강원,GS칼텍스,일반
A0000015,G500_1928_3889,964000,1944500,127.09553656,37.50132374,서울,HD현대오일뱅크,셀프
A0000016,G500_1875_3957,937500,1978500,126.79284071,37.80635023,경기,GS칼텍스,일반
A0000017,G500_1948_3868,974000,1934000,127.20903845,37.40701392,경기,HD현대오일뱅크,셀프
A0000018,G500_1948_3868,974000,1934000,127.20903845,37.40701392,경기,HD현대오일뱅크,일반
A0000019,G500_1915_3836,957500,1918000,127.02351364,37.26219042,경기,HD현대오일뱅크,셀프
A0000020,G500_2009_3802,1004500,1901000,127.55346218,37.10989671,경기,SK에너지,셀프
A0000024,G500_2271_3368,1135500,1684000,128.99020856,35.14432793,부산,S-OIL,일반
A0000025,G500_1948_3897,974000,1948500,127.20853138,37.53771101,경기,GS칼텍스,셀프
A0000027,G500_1929_3948,964500,1974000,127.09976969,37.7672336,경기,S-OIL,셀프
A0000028,G500_1849_3689,924500,1844500,126.65868833,36.59761156,충남,SK에너지,셀프
A0000029,G500_1879_3795,939500,1897500,126.822177,37.07642191,경기,S-OIL,셀프
A0000031,G500_1854_3898,927000,1949000,126.67651491,37.53970613,인천,SK에너지,셀프
A0000032,G500_2022_3662,1011000,1831000,127.62558652,36.47881073,충북,SK에너지,일반
A0000033,G500_2106_3351,1053000,1675500,128.08408417,35.07543926,경남,GS칼텍스,일반
A0000035,G500_1907_3913,953500,1956500,126.97599032,37.60901575,서울,HD현대오일뱅크,셀프
A0000036,G500_2048_3730,1024000,1865000,127.77178188,36.78507595,충북,SK에너지,일반
A0000037,G500_1892_3940,946000,1970000,126.89002479,37.73028196,경기,HD현대오일뱅크,셀프
A0000038,G500_2275_3370,1137500,1685000,129.0123238,35.15307004,부산,SK에너지,일반
A0000039,G500_1921_3903,960500,1951500,127.05556554,37.56427494,서울,GS칼텍스,일반
A0000040,G500_1906_3912,953000,1956000,126.97035753,37.60448391,서울,S-OIL,일반
A0000041,G500_1877_3885,938500,1942500,126.80721997,37.4819577,경기,GS칼텍스,셀프
A0000043,G500_1907_3913,953500,1956500,126.97599032,37.60901575,서울,HD현대오일뱅크,일반
A0000045,G500_1907_3913,953500,1956500,126.97599032,37.60901575,서울,GS칼텍스,셀프
A0000048,G500_1869_3369,934500,1684500,126.78358951,35.15588304,광주,SK에너지,일반
A0000050,G500_2050_3450,1025000,1725000,127.77849006,35.52286547,경남,알뜰주유소,일반
A0000051,G500_1873_3613,936500,1806500,126.79594084,36.25592776,충남,알뜰(ex),셀프
A0000052,G500_1874_3614,937000,1807000,126.80146602,36.26046783,충남,알뜰(ex),셀프
A0000053,G500_1940_3666,970000,1833000,127.16781862,36.4964448,충남,알뜰(ex),셀프
A0000054,G500_1940_3666,970000,1833000,127.16781862,36.4964448,충남,알뜰(ex),셀프
A0000055,G500_1922_3635,961000,1817500,127.06810371,36.35638953,충남,알뜰주유소,일반
A0000056,G500_1986_3506,993000,1753000,127.42531719,35.77562496,전북,알뜰(ex),일반
A0000057,G500_1986_3506,993000,1753000,127.42531719,35.77562496,전북,알뜰(ex),셀프
A0000058,G500_1922_3626,961000,1813000,127.06832761,36.31582122,충남,알뜰주유소,일반
A0000064,G500_1904_3911,952000,1955500,126.95906136,37.59992597,서울,S-OIL,일반
A0000068,G500_1911_3889,955500,1944500,126.99937346,37.50095535,서울,HD현대오일뱅크,일반
A0000069,G500_1905_3910,952500,1955000,126.9647577,37.59544523,서울,SK에너지,셀프
