grid_id,region
G500_1501_3998,인천
G500_1507_3970,인천
G500_1510_4001,인천
G500_1511_4000,인천
G500_1680_3926,인천
G500_1712_3281,전남
G500_1713_3272,
G500_1722_3285,전남
G500_1731_3249,전남
G500_1733_3180,전남
G500_1734_3310,전남
G500_1741_3244,전남
G500_1746_3298,전남
G500_1746_3355,전남
G500_1748_3281,전남
G500_1752_3256,전남
G500_1754_2959,제주
G500_1755_2970,제주
G500_1755_3208,전남
G500_1757_2953,제주
G500_1758_2952,제주
G500_1759_3204,전남
G500_1759_3205,전남
G500_1759_3729,충남
G500_1760_2975,
G500_1760_3830,인천
G500_1764_3349,전남
G500_1764_3712,충남
G500_1765_3213,전남
G500_1765_3214,전남
G500_1766_2941,제주
G500_1766_3208,전남
G500_1766_3348,전남
G500_1767_3713,충남
G500_1767_3726,충남
G500_1768_2941,제주
G500_1768_2942,제주
G500_1769_2943,제주
G500_1769_2982,제주
G500_1770_2944,제주
G500_1770_2984,제주
G500_1770_2986,제주
G500_1770_3714,충남
G500_1771_2946,제주
G500_1771_2982,제주
G500_1771_3750,충남
G500_1772_2985,제주
G500_1772_3220,전남
G500_1772_3727,충남
G500_1773_3219,전남
G500_1773_3220,전남
G500_1773_3221,전남
G500_1773_3348,전남
G500_1774_2942,제주
G500_1774_3217,전남
G500_1774_3221,전남
G500_1775_3211,전남
G500_1775_3217,전남
G500_1775_3221,전남
G500_1775_3720,충남
G500_1776_2970,제주
G500_1777_2990,제주
G500_1777_3222,전남
G500_1777_3727,충남
G500_1778_2991,제주
G500_1778_3104,
G500_1778_3222,전남
G500_1778_3739,충남
G500_1779_2995,
G500_1779_3233,전남
G500_1779_3240,전남
G500_1779_3726,충남
G500_1779_3733,충남
G500_1779_3951,인천
G500_1780_2956,제주
G500_1780_3327,전남
G500_1780_3353,전남
G500_1780_3360,전남
G500_1780_3725,충남
G500_1781_2994,제주
G500_1781_3231,전남
G500_1781_3307,전남
G500_1781_3731,충남
G500_1782_2946,제주
G500_1782_2994,제주
G500_1782_3225,전남
G500_1782_3228,전남
G500_1782_3246,전남
G500_1782_3717,충남
G500_1782_3746,충남
G500_1782_3956,인천
G500_1783_2946,제주
G500_1783_3256,전남
G500_1783_3258,전남
G500_1783_3305,전남
G500_1783_3708,충남
G500_1783_3718,충남
G500_1783_3720,충남
G500_1783_3727,충남
G500_1784_2960,제주
G500_1784_3359,전남
G500_1784_3707,충남
G500_1784_3708,충남
G500_1784_3724,충남
G500_1785_2995,제주
G500_1785_3952,인천
G500_1785_3953,인천
G500_1786_2949,제주
G500_1786_2955,제주
G500_1786_2956,제주
G500_1786_3262,전남
G500_1786_3264,전남
G500_1786_3385,전남
G500_1787_2953,제주
G500_1787_3268,전남
G500_1787_3303,전남
G500_1787_3696,충남
G500_1787_3723,충남
G500_1788_3222,전남
G500_1788_3246,전남
G500_1788_3326,전남
G500_1788_3691,충남
G500_1788_3692,충남
G500_1788_3697,충남
G500_1789_3327,전남
G500_1789_3690,충남
G500_1789_3696,충남
G500_1789_3724,충남
G500_1790_2950,제주
G500_1790_3695,충남
G500_1790_3724,충남
G500_1790_3834,
G500_1791_2997,제주
G500_1791_3300,전남
G500_1791_3349,전남
G500_1791_3685,충남
G500_1792_3268,
G500_1792_3292,
G500_1792_3348,전남
G500_1792_3935,인천
G500_1793_2950,제주
G500_1793_3292,전남
G500_1793_3293,
G500_1793_3298,
G500_1793_3670,충남
G500_1793_3673,충남
G500_1793_3726,충남
G500_1794_2950,제주
G500_1794_3291,전남
G500_1794_3347,전남
G500_1794_3348,전남
G500_1794_3675,충남
G500_1794_3728,충남
G500_1794_3736,충남
G500_1795_2950,제주
