p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
10,8,-4262.100105195164,-4082.153758074143,True,1.7289488447233327e-09,0.012837221655311794,15,1095,False,True
9,8,-4254.486082323614,-4079.538244844843,True,1.3832205386729819e-09,0.0016360228945667022,14,1095,False,True
10,9,-4261.3367390040285,-4076.3918822407563,True,2.9359843372980165e-09,0.011795626275368322,15,1095,False,True
10,11,-4271.192791370587,-4076.2509153228134,True,1.879041461018128e-10,0.021325676063869068,15,1095,False,True
9,11,-4265.792545812292,-4075.849179406769,True,2.7116792711850236e-10,0.0028328518084013276,14,1095,False,True
11,8,-4260.148445912419,-4075.2035891491473,True,1.597025834481232e-09,0.011588582064714605,16,1095,False,True
9,9,-4253.7825487894315,-4073.83620166841,True,1.6068133183193279e-09,0.0015339748476543092,14,1095,False,True
10,10,-4260.816346803611,-4070.872980398088,True,4.109923393854483e-09,0.009423518878588541,15,1095,False,True
10,12,-4270.084828836201,-4070.1444431461773,True,7.65150952756528e-11,0.019722149895183668,15,1095,False,True
9,12,-4265.067076408152,-4070.125200360379,True,1.2757091115734104e-10,0.002695417065237394,14,1095,False,True
11,9,-4259.372717149074,-4069.429350743551,True,2.8340166994428094e-09,0.010845306545104216,16,1095,False,True
11,11,-4269.209691409465,-4069.2693057194415,True,1.3145979694662574e-10,0.021784087525194642,16,1095,False,True
12,8,-4258.456064447875,-4068.5126980423524,True,1.2871820509206166e-09,0.01223998053659928,17,1095,False,True
9,10,-4252.613111362078,-4067.6682545988056,True,2.395070573622721e-09,0.0015289154204659215,14,1095,False,True
9,13,-4264.986160112903,-4065.0457744228793,True,3.712737704278232e-10,0.0016618701005399253,14,1095,False,True
10,13,-4269.897212171974,-4064.9583168397,True,2.390099474190688e-10,0.0128201932897455,15,1095,False,True
14,8,-4264.305664767762,-4064.3652790777383,True,5.378060803463711e-09,0.17182137687599586,19,1095,True,True
11,10,-4258.854622660858,-4063.9127466130844,True,4.035427517497133e-09,0.008701286852978824,16,1095,False,True
