p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
9,8,672.0392434417996,763.5349236592857,True,4.860441991131791e-30,0.0025292274204405784,14,156,False,True
9,9,671.1372967882289,765.6828330129646,True,7.23145427053188e-33,0.0026373187087931974,14,156,False,True
10,8,673.7757781352672,768.3213143600028,True,8.181369529363594e-30,0.0008186931954624927,15,156,False,True
9,4,689.2588989761737,768.5551551646616,True,3.1998339132073816e-31,0.000665866683081756,14,156,False,True
9,10,672.6549713682973,770.2503636002825,True,4.5650220526422174e-32,0.0016874176458282417,14,156,False,True
13,8,666.6534023519358,770.34850659842,True,4.8590675746994175e-30,0.02234057345414379,18,156,False,True
13,9,663.8103793664923,770.555339620226,True,5.604341632945781e-32,0.07412692185225898,18,156,True,True
10,9,673.0688299748688,770.664222206854,True,1.2898580453623526e-32,0.0013617325153129477,15,156,False,True
11,8,673.9440244720629,771.5394167040481,True,1.3654048301841608e-29,0.0007801511845062631,16,156,False,True
12,8,671.7082520522952,772.3535002915298,True,4.2294695790873295e-29,0.0024874652801947917,17,156,False,True
9,5,690.3524788504914,772.6985910462289,True,3.827497732406681e-30,0.00015700335363189852,14,156,False,True
12,9,669.7762341654499,773.4713384119341,True,4.934130361592405e-31,0.015078267079700355,17,156,False,True
9,6,688.0918584791107,773.4878266820976,True,8.647045218855706e-33,0.0014233008498091616,14,156,False,True
10,4,691.2197412801725,773.56585347591,True,2.889583754473973e-30,0.00029628192280372153,15,156,False,True
11,9,673.3931384938834,774.0383867331182,True,3.6984393917825456e-32,0.001799628177379052,16,156,False,True
10,10,673.5271931645777,774.1724414038124,True,6.913268794176835e-32,0.0012742188403931688,15,156,False,True
14,8,667.5960969464086,774.3410572001424,True,9.735578198879028e-30,0.014935957610419534,19,156,False,True
14,9,664.9173479809601,774.7121642419435,True,2.684974266483548e-31,0.05422815008071083,19,156,True,True
9,11,674.3793155296171,775.0245637688517,True,2.2728385476537595e-31,0.0021597510856638073,14,156,False,True
13,10,665.2691000648477,775.0639163258311,True,1.8462570105136859e-31,0.08906056127298496,18,156,True,True
9,7,688.2053966664629,776.6512208766994,True,7.009504366380262e-33,0.0036124074849750573,14,156,False,True
12,10,670.5219831102977,777.2669433640315,True,1.1526769970127305e-30,0.02010941183360696,17,156,False,True
13,11,664.7188138081333,777.5634860763662,True,8.48320766289753e-32,0.09214508901738765,18,156,True,True
9,3,701.3442953511011,777.5906955323395,True,3.3096292474859876e-31,0.002710322964594556,14,156,False,True
10,5,692.3154809800182,777.7114491830052,True,2.3132756538350316e-29,6.606442595461256e-05,15,156,False,True
11,10,674.1485602084739,777.8436644549581,True,8.484839001297817e-32,0.0022466662452557623,16,156,False,True
11,4,692.878459916916,778.274428119903,True,1.2067922776864577e-30,0.00022911817147406972,16,156,False,True
13,12,662.5083837672817,778.402912042764,True,2.2927561971568002e-33,0.18913169031535965,18,156,True,True
12,13,662.6258054241553,778.5203336996376,True,2.641598926147603e-32,0.1418139874576935,17,156,True,True
10,6,690.0761651443231,778.5219893545597,True,1.9683746547102107e-32,0.00029409281508846393,15,156,False,True
13,4,687.27516015476,778.7708403722461,True,3.212810796390985e-30,0.0021145804693680835,18,156,False,True
15,8,668.9870173971352,778.7818336581186,True,5.714074955758627e-30,0.019801114871432823,20,156,False,True
14,10,666.1824060055707,779.0270782738036,True,7.126597028135655e-31,0.0747460952525168,19,156,True,True
10,11,675.514758589538,779.2098628360222,True,2.566091264459125e-31,0.0012747762059395521,15,156,False,True
15,9,666.3665621391518,779.2112344073847,True,1.6593626608467765e-31,0.042161162801946414,20,156,False,True
12,11,669.7017260710995,779.4965423320829,True,3.7705540442752207e-31,0.014528668340700894,17,156,False,True
12,4,691.1931455254505,779.638969735687,True,1.4276799321391573e-29,0.00045146140105211275,17,156,False,True
9,12,675.9630955172696,779.6581997637538,True,1.6680409318481175e-32,0.0022038383148699566,14,156,False,True
13,3,692.4488015976042,780.8946258078407,True,7.091881965849628e-31,0.0007108150535929652,18,156,False,True
11,11,674.46375128609,781.2087115398238,True,3.5035545184008765e-32,0.003207909924553986,16,156,False,True
12,14,662.5086988117273,781.4530830944593,True,2.0255277108902357e-32,0.1973896157474371,17,156,True,True
10,7,690.1189547892714,781.6146350067575,True,1.3425032706921995e-32,0.0010350691250839966,15,156,False,True
12,12,669.0327233503035,781.8773956185364,True,1.0980795521725697e-31,0.041197881911967014,17,156,False,True
14,11,666.0793588833387,781.9738871588211,True,3.689449536073798e-31,0.06055810033604121,19,156,True,True
13,13,663.0413606471006,781.9857449298327,True,7.356344415630221e-33,0.20509926232629222,18,156,True,True
11,5,693.922089946745,782.3679141569816,True,9.929276105482555e-30,5.6427584325868325e-05,16,156,False,True
10,3,703.310971991348,782.6072281798359,True,2.858313977823621e-30,0.0009470328326571081,15,156,False,True
14,12,663.7044552088106,782.6488394915425,True,3.195072540383273e-32,0.12665902105402121,19,156,True,True
16,8,669.9966588032976,782.8413310715305,True,4.092721421389389e-30,0.0022451469859822056,21,156,False,True
16,9,667.146813754542,783.0413420300245,True,1.043799195684654e-31,0.004083266408347748,21,156,False,True
11,6,691.6508627131681,783.1465429306542,True,5.4284662543090355e-33,0.0003766298641397789,16,156,False,True
12,3,698.0024786770132,783.3984468800002,True,1.1520796574255215e-29,0.0006233049154203087,17,156,False,True
15,10,667.5721162971959,783.4666445726782,True,4.271479508463082e-31,0.06319285122932193,20,156,True,True
12,5,692.021586953937,783.5172671714231,True,1.1286784040493155e-28,0.00011999911902907724,17,156,False,True
13,6,685.9416672002892,783.5370594322744,True,5.870846809564336e-33,0.01823256619735315,18,156,False,True
13,5,689.0475194025635,783.5930556272991,True,1.3180928732447075e-29,0.0013565852157102168,18,156,False,True
14,4,689.2744708707097,783.8200070954454,True,2.4777056088582065e-29,0.002061696567861201,19,156,False,True
9,13,677.2358657221315,783.9808259758653,True,2.545185600681822e-32,0.002507096525247652,14,156,False,True
10,12,677.2708378411002,784.0157980948339,True,2.7921404553540696e-32,0.001238681731381015,15,156,False,True
12,6,689.6495698615417,784.1951060862774,True,1.7357600470889384e-31,0.0020075346202965134,17,156,False,True
12,15,662.7701611748724,784.7644014648539,True,2.2330479857051263e-32,0.1862817783028816,17,156,True,True
14,13,663.7504266686778,785.7446669586593,True,8.617181143481494e-32,0.10222117349333827,19,156,True,True
