p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass,oos_rmse_chg,oos_mae_chg,oos_rmse_level,oos_mae_level,oos_mape_level_pct,full_lb_pvalue,full_lb_lag,full_stable,full_intl_block_p,full_n_obs,full_lb_pass
13,13,663.0413606471006,781.9857449298327,True,7.356344415630221e-33,0.20509926232629222,18,156,True,True,2.3083084105630287,1.8147871697941471,12.126378458335067,9.691149408242238,1.810072328877775,0.000145751843727163,18,True,1.024360383406169e-67,392,False
13,12,662.5083837672817,778.402912042764,True,2.2927561971568002e-33,0.18913169031535965,18,156,True,True,2.308311870329791,1.8244280933339005,12.175501573240295,9.770328595279512,1.81974800260673,0.00018120291830981647,18,True,1.1250746256404503e-68,392,False
13,14,664.2928261953596,786.287066485341,True,2.0153987831651904e-32,0.21667252953968774,18,156,True,True,2.312094182356725,1.8216599297469036,12.149936563655384,9.734464586415102,1.8176558708518689,0.00047461198895974976,18,True,3.549417751913711e-67,390,False
13,9,663.8103793664923,770.555339620226,True,5.604341632945781e-32,0.07412692185225898,18,156,True,True,2.313386587338107,1.8245956721158845,12.236113666238177,9.78985070481107,1.8211670139302822,7.362556740649214e-05,18,True,8.966113266408908e-69,392,False
15,12,665.5997605828501,787.5940008728315,True,9.295120712566518e-32,0.08878768986429995,20,156,True,True,2.3141641437170977,1.8320076698522472,12.161988185600297,9.785885566587757,1.8280569650463816,0.0002937109178835221,20,True,3.4033386912436955e-62,388,False
13,15,664.7383768897463,789.7824731869773,True,4.575867329826841e-32,0.19405964395258485,18,156,True,True,2.3143118624334513,1.8220758577940277,12.133174184855823,9.723255278790266,1.8182380678989243,0.0001061554553253805,18,True,1.2279877742715606e-65,388,False
14,13,663.7504266686778,785.7446669586593,True,8.617181143481494e-32,0.10222117349333827,19,156,True,True,2.3157353415519513,1.8289027576929497,12.172613496988985,9.768994238840065,1.8247684188835485,0.00023675334579984885,19,True,3.7438639504599215e-60,390,False
14,12,663.7044552088106,782.6488394915425,True,3.195072540383273e-32,0.12665902105402121,19,156,True,True,2.315795875571681,1.8394160082329625,12.217178993676763,9.851938064128985,1.8353602484156153,0.0003641477871403767,19,True,7.95435532335932e-62,390,False
15,13,665.7012753078858,790.7453716051168,True,1.6480329072269314e-31,0.06425762320817821,20,156,True,True,2.315835179646238,1.8255314998760614,12.135525735094104,9.731659722521561,1.8216171729947943,0.00027725103320602447,20,True,1.6542891687982133e-60,388,False
13,10,665.2691000648477,775.0639163258311,True,1.8462570105136859e-31,0.08906056127298496,18,156,True,True,2.3178487038161566,1.8298854496291028,12.270572929912635,9.823741207029508,1.8264998807993698,2.5938131751127042e-05,18,True,1.5403769765016671e-66,392,False
13,11,664.7188138081333,777.5634860763662,True,8.48320766289753e-32,0.09214508901738765,18,156,True,True,2.3235280365282054,1.830342504448704,12.286902491659566,9.82315221880921,1.8268373346864917,3.860840621409772e-05,18,True,1.6884342386291444e-67,392,False
