p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass,oos_rmse_chg,oos_mae_chg,oos_rmse_level,oos_mae_level,oos_mape_level_pct,full_lb_pvalue,full_lb_lag,full_stable,full_intl_block_p,full_n_obs,full_lb_pass
9,14,-3394.9878773177315,-3190.048981985457,True,4.1126676430487833e-26,0.24055172092084195,14,1095,True,True,0.034323181411025167,0.022976874384942572,0.536893477820286,0.36625809675479537,0.022976636739247207,1.763590380015743e-08,14,True,1.899488767032289e-17,4263,False
10,14,-3393.2574818754456,-3183.3200769009204,True,1.2282380485098475e-26,0.059738984036848096,15,1095,True,True,0.034329907692572124,0.02298046447969806,0.5369397823335638,0.3662960542419092,0.022980214992650475,2.867993363598757e-08,15,True,2.0623203701577027e-17,4263,False
9,13,-3377.2877434957054,-3177.3473578056814,True,1.5546714729890554e-26,0.20924922770480514,14,1095,True,True,0.03436758942231708,0.02297515805285461,0.5377237666876152,0.36631865215164683,0.022974902521640927,4.821631169971047e-06,14,True,9.861595541154823e-16,4266,False
10,13,-3375.3935737199254,-3170.454678387651,True,4.855470845633669e-27,0.058324709627181136,15,1095,True,True,0.03437485552549436,0.02297552239090214,0.5377890996220549,0.36630657135558575,0.02297525822092358,3.7192595728931077e-06,15,True,9.921935602692684e-16,4266,False
9,15,-3395.8471326997997,-3185.9097277252745,True,2.012850892337869e-26,0.22306582586971907,14,1095,True,True,0.03438416478571974,0.023002637919859827,0.5376336585371285,0.3664444680416614,0.023002413614128994,3.930914514627181e-09,14,True,1.1617439042296075e-17,4260,False
10,15,-3393.991312134729,-3179.055397517953,True,4.123574185023805e-27,0.05969453085938634,15,1095,True,True,0.034392561737937366,0.023006757876085034,0.5377492358442586,0.36650648831169036,0.02300652676572553,6.226467746154837e-09,15,True,1.2016336878822513e-17,4260,False
9,16,-3394.5618856427063,-3179.6259710259305,True,1.301984087712049e-26,0.26439564430434453,14,1095,True,True,0.03439310717129021,0.022992387986888303,0.5376913213116682,0.3662776569391562,0.022992182361525657,4.680947577251053e-09,14,True,2.0550324182780352e-17,4257,False
10,16,-3392.8095209654457,-3172.8750967064193,True,2.6729323927291478e-27,0.06500812197874219,15,1095,True,True,0.03439974671615987,0.022996600279245726,0.5377787611763046,0.3663413350617478,0.02299638647810205,9.778151429187293e-09,15,True,2.1580987174167266e-17,4257,False
8,14,-3395.573680992591,-3195.633295302567,True,1.1807784043641403e-26,0.18172014088640018,14,1095,True,True,0.034461445793053956,0.02308890889271482,0.5388501732860868,0.3680011986429815,0.02308862137514639,1.548858526964116e-08,14,True,1.7837671223971976e-17,4263,False
8,13,-3376.8372406684093,-3181.895364620636,True,2.6225841085570143e-27,0.1404727351613907,14,1095,True,True,0.03449815762572874,0.023082197765363324,0.5395833424219916,0.36797784105379533,0.023081894737617275,1.8086270933498634e-07,14,True,6.927075963167672e-16,4266,False
8,15,-3395.8815226456845,-3190.94262731341,True,9.544303275765267e-27,0.16628246337931918,14,1095,True,True,0.034520441716658794,0.023105956181278562,0.5395703403753194,0.368055116875722,0.023105679259713723,8.458010398343783e-09,14,True,1.003109961196584e-17,4260,False
8,16,-3394.959529281262,-3185.0221243067367,True,4.229821292239194e-27,0.20984669566563202,14,1095,True,True,0.03453843389393596,0.023103236080269617,0.5397877354826636,0.3680211366670734,0.02310297276336553,1.0272526052160264e-08,14,True,1.2386476594074827e-17,4257,False
9,31,-3403.3949454875,-3113.481386236965,True,1.548843291151051e-32,0.7668229109862077,14,1095,True,True,0.03456450470798097,0.022923787198405647,0.5373120022519359,0.3637862928158198,0.022923575123465594,0.0004322636062501696,14,True,1.2556914795530941e-21,4212,False
9,30,-3401.5182139580666,-3116.603164349782,True,4.8391683766159874e-33,0.7844334995685468,14,1095,True,True,0.03457217520922663,0.022940995255672614,0.5376830802310517,0.36422341466844926,0.022940773230435925,0.0006637867428394454,14,True,3.7947382735184195e-22,4215,False
9,28,-3404.696890218107,-3129.778859894324,True,6.651301445383133e-29,0.7716420084651922,14,1095,True,True,0.034581060424065516,0.02290987385930872,0.5384263424561723,0.3639879424193902,0.022909690695751574,0.000653087320048548,14,True,3.9751031066707945e-18,4221,False
9,29,-3403.479689797162,-3123.563149831128,True,7.282342350658265e-32,0.7860574871529185,14,1095,True,True,0.03461776620212451,0.0229771636958911,0.5386322077653299,0.3649197248890801,0.02297694231731634,0.0004959152893477596,14,True,1.4341457419224337e-18,4218,False
9,32,-3408.852297916147,-3113.9402290233616,True,5.358051142296835e-32,0.7868858259348859,14,1095,True,True,0.03461832057747918,0.022990538604265566,0.5381201631343971,0.364733776692323,0.022990343545596294,0.00041347508347277384,14,True,9.231501675768251e-22,4209,False
9,34,-3409.5356912509988,-3104.626603073712,True,5.400686347477782e-32,0.7709265869269977,14,1095,True,True,0.034632126138451874,0.023027906267340897,0.5382722789984524,0.3651483961142577,0.023027731888824565,0.00029634361477193254,14,True,4.4331883338922e-24,4203,False
9,33,-3411.0912711107603,-3111.180692575724,True,7.702299044260018e-32,0.7866144884444156,14,1095,True,True,0.034636492804369194,0.023004061383866774,0.5383786422950486,0.3648705094724124,0.02300387639910112,0.00027539554286433156,14,True,7.562139062156452e-22,4206,False
9,36,-3406.5369726106,-3091.630865148812,True,1.727901474246791e-32,0.736116265363872,14,1095,True,True,0.034721302379020894,0.02304877218715758,0.5396936396918085,0.3654506961451151,0.02304857280848309,0.0004063426724944363,14,True,2.127485439612257e-29,4197,False
