유종,연도,구분,판정대상일수,범위내,상향이탈,하향이탈
경유,2008,미정책,0,0,0,0
경유,2008,정책적용,0,0,0,0
경유,2008,변화량(정책적용-미정책),0,0,0,0
경유,2009,미정책,0,0,0,0
경유,2009,정책적용,0,0,0,0
경유,2009,변화량(정책적용-미정책),0,0,0,0
경유,2010,미정책,0,0,0,0
경유,2010,정책적용,0,0,0,0
경유,2010,변화량(정책적용-미정책),0,0,0,0
경유,2011,미정책,0,0,0,0
경유,2011,정책적용,0,0,0,0
경유,2011,변화량(정책적용-미정책),0,0,0,0
경유,2012,미정책,0,0,0,0
경유,2012,정책적용,0,0,0,0
경유,2012,변화량(정책적용-미정책),0,0,0,0
경유,2013,미정책,24,3,21,0
경유,2013,정책적용,24,3,21,0
경유,2013,변화량(정책적용-미정책),0,0,0,0
경유,2014,미정책,365,231,55,79
경유,2014,정책적용,365,231,55,79
경유,2014,변화량(정책적용-미정책),0,0,0,0
경유,2015,미정책,365,267,14,84
경유,2015,정책적용,365,267,14,84
경유,2015,변화량(정책적용-미정책),0,0,0,0
경유,2016,미정책,366,157,135,74
경유,2016,정책적용,366,157,135,74
경유,2016,변화량(정책적용-미정책),0,0,0,0
경유,2017,미정책,365,329,12,24
경유,2017,정책적용,365,329,12,24
경유,2017,변화량(정책적용-미정책),0,0,0,0
경유,2018,미정책,365,201,26,138
경유,2018,정책적용,365,232,50,83
경유,2018,변화량(정책적용-미정책),0,31,24,-55
경유,2019,미정책,365,119,0,246
경유,2019,정책적용,365,221,118,26
경유,2019,변화량(정책적용-미정책),0,102,118,-220
경유,2020,미정책,366,243,66,57
경유,2020,정책적용,366,243,66,57
경유,2020,변화량(정책적용-미정책),0,0,0,0
경유,2021,미정책,365,119,178,68
경유,2021,정책적용,365,117,228,20
경유,2021,변화량(정책적용-미정책),0,-2,50,-48
경유,2022,미정책,365,1,0,364
경유,2022,정책적용,365,41,21,303
경유,2022,변화량(정책적용-미정책),0,40,21,-61
경유,2023,미정책,365,0,0,365
경유,2023,정책적용,365,11,0,354
경유,2023,변화량(정책적용-미정책),0,11,0,-11
경유,2024,미정책,366,0,0,366
경유,2024,정책적용,366,0,0,366
경유,2024,변화량(정책적용-미정책),0,0,0,0
경유,2025,미정책,365,0,0,365
경유,2025,정책적용,365,0,0,365
경유,2025,변화량(정책적용-미정책),0,0,0,0
경유,2026,미정책,77,0,0,77
경유,2026,정책적용,77,1,4,72
경유,2026,변화량(정책적용-미정책),0,1,4,-5
