date,유종,유류세정책명,유류세인하율_pct,정책감면액_exVAT_원L,정책감면액_VAT포함참고_원L,정책적용_시프트_원L,정책라벨
2021-11-11,휘발유,,0.0,0.0,0.0,0.0,
2021-11-12,휘발유,수송용 유류세 20% 한시 인하,20.0,149.178,164.0958,164.0958,수송용 유류세 20% 한시 인하 (20%)
2022-07-01,휘발유,수송용 유류세 37% 한시 인하 확대,37.0,275.97929999999997,303.57723,303.57723,수송용 유류세 37% 한시 인하 확대 (37%)
2025-11-01,휘발유,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",7.0,52.212300000000006,57.43353000000001,57.43353000000001,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%) (7%)"
2026-03-26,휘발유,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",7.0,52.212300000000006,57.43353000000001,57.43353000000001,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%) (7%) | 석유제품 1차 최고가격제 (1724원/L, 정유사 단계 감사)"
2026-03-27,휘발유,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%)",15.0,111.8835,123.07185000000001,123.07185000000001,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%) (15%) | 석유제품 2차 최고가격제 (1934원/L, 정유사 단계 감사)"
2021-11-11,경유,,0.0,0.0,0.0,0.0,
2021-11-12,경유,수송용 유류세 20% 한시 인하,20.0,105.75,116.325,116.325,수송용 유류세 20% 한시 인하 (20%)
2022-07-01,경유,수송용 유류세 37% 한시 인하 확대,37.0,195.6375,215.20125000000002,215.20125000000002,수송용 유류세 37% 한시 인하 확대 (37%)
2025-11-01,경유,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",10.0,52.875,58.1625,58.1625,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%) (10%)"
2026-03-26,경유,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",10.0,52.875,58.1625,58.1625,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%) (10%) | 석유제품 1차 최고가격제 (1713원/L, 정유사 단계 감사)"
2026-03-27,경유,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%)",25.0,132.1875,145.40625,145.40625,"중동전쟁 대응 유류세 인하 확대(휘발유 15%, 경유 25%) (25%) | 석유제품 2차 최고가격제 (1923원/L, 정유사 단계 감사)"
