유종,연도,구분,판정대상일수,범위내,상향이탈,하향이탈
휘발유,2008,미정책,0,0,0,0
휘발유,2008,정책적용,0,0,0,0
휘발유,2008,변화량(정책적용-미정책),0,0,0,0
휘발유,2009,미정책,0,0,0,0
휘발유,2009,정책적용,0,0,0,0
휘발유,2009,변화량(정책적용-미정책),0,0,0,0
휘발유,2010,미정책,340,154,69,117
휘발유,2010,정책적용,340,154,69,117
휘발유,2010,변화량(정책적용-미정책),0,0,0,0
휘발유,2011,미정책,365,95,80,190
휘발유,2011,정책적용,365,95,80,190
휘발유,2011,변화량(정책적용-미정책),0,0,0,0
휘발유,2012,미정책,366,282,18,66
휘발유,2012,정책적용,366,282,18,66
휘발유,2012,변화량(정책적용-미정책),0,0,0,0
휘발유,2013,미정책,365,265,38,62
휘발유,2013,정책적용,365,265,38,62
휘발유,2013,변화량(정책적용-미정책),0,0,0,0
휘발유,2014,미정책,365,294,13,58
휘발유,2014,정책적용,365,294,13,58
휘발유,2014,변화량(정책적용-미정책),0,0,0,0
휘발유,2015,미정책,365,212,115,38
휘발유,2015,정책적용,365,212,115,38
휘발유,2015,변화량(정책적용-미정책),0,0,0,0
휘발유,2016,미정책,366,149,202,15
휘발유,2016,정책적용,366,149,202,15
휘발유,2016,변화량(정책적용-미정책),0,0,0,0
휘발유,2017,미정책,365,297,31,37
휘발유,2017,정책적용,365,297,31,37
휘발유,2017,변화량(정책적용-미정책),0,0,0,0
휘발유,2018,미정책,365,245,50,70
휘발유,2018,정책적용,365,270,79,16
휘발유,2018,변화량(정책적용-미정책),0,25,29,-54
휘발유,2019,미정책,365,55,0,310
휘발유,2019,정책적용,365,74,0,291
휘발유,2019,변화량(정책적용-미정책),0,19,0,-19
휘발유,2020,미정책,366,230,85,51
휘발유,2020,정책적용,366,230,85,51
휘발유,2020,변화량(정책적용-미정책),0,0,0,0
휘발유,2021,미정책,365,221,85,59
휘발유,2021,정책적용,365,220,135,10
휘발유,2021,변화량(정책적용-미정책),0,-1,50,-49
휘발유,2022,미정책,365,0,0,365
휘발유,2022,정책적용,365,115,154,96
휘발유,2022,변화량(정책적용-미정책),0,115,154,-269
휘발유,2023,미정책,365,0,0,365
휘발유,2023,정책적용,365,49,93,223
휘발유,2023,변화량(정책적용-미정책),0,49,93,-142
휘발유,2024,미정책,366,0,0,366
휘발유,2024,정책적용,366,200,10,156
휘발유,2024,변화량(정책적용-미정책),0,200,10,-210
휘발유,2025,미정책,365,0,0,365
휘발유,2025,정책적용,365,177,42,146
휘발유,2025,변화량(정책적용-미정책),0,177,42,-219
휘발유,2026,미정책,77,1,3,73
휘발유,2026,정책적용,77,28,6,43
휘발유,2026,변화량(정책적용-미정책),0,27,3,-30
