file,raw_rows,columns,reason
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20080415_20081231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20090101_20091231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20100101_20101231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20110101_20111231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20120101_20121231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20130101_20131231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20140101_20141231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20150101_20151231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20160101_20161231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20170101_20171231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20180101_20181231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20190101_20191231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20200101_20201231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20210101_20211231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
/content/drive/MyDrive/Data_analysis/The appropriateness of domestic oil prices compared to international oil prices/산업부/data collection/gas_station_prices_by_region/raw/대구/대구_군위군_20220101_20221231.csv,1,"번호, 지역, 상호, 주소, 기간, 상표, 셀프여부, 고급휘발유, 휘발유, 경유, 실내등유",cleaned row count is zero
