구분,보통휘발유,자동차용경유
08년05월1주,835.06,1005.27
08년05월2주,857.42,1037.10
08년05월3주,890.60,1092.21
08년05월4주,942.44,1163.49
08년06월1주,948.25,1159.01
08년06월2주,942.51,1138.48
08년06월3주,938.93,1130.62
08년06월4주,933.80,1116.75
08년07월1주,947.68,1133.42
08년07월2주,987.13,1181.18
08년07월3주,986.64,1180.97
08년07월4주,919.08,1113.74
08년07월5주,847.17,1033.77
08년08월1주,815.67,999.45
08년08월2주,776.83,923.99
08년08월3주,763.05,908.75
08년08월4주,778.09,915.80
08년09월1주,803.32,931.37
08년09월2주,819.77,937.39
08년09월3주,802.65,903.11
08년09월4주,788.12,892.59
08년10월1주,817.89,925.74
08년10월2주,800.23,897.08
08년10월3주,782.10,849.55
08년10월4주,699.78,764.94
08년10월5주,661.68,733.91
08년11월1주,611.37,715.68
08년11월2주,542.77,685.57
08년11월3주,476.18,652.14
08년11월4주,460.37,644.78
08년12월1주,458.18,642.54
08년12월2주,417.68,611.77
08년12월3주,402.76,580.56
08년12월4주,403.74,585.19
08년12월5주,370.95,556.78
09년01월1주,364.84,551.97
09년01월2주,409.33,587.63
09년01월3주,461.20,618.93
09년01월4주,491.68,581.41
09년02월1주,525.32,578.65
09년02월2주,541.10,564.16
09년02월3주,551.35,542.83
09년02월4주,533.33,512.90
09년03월1주,551.74,534.52
09년03월2주,554.09,556.74
09년03월3주,538.53,540.02
09년03월4주,550.77,564.35
09년04월1주,578.13,611.50
09년04월2주,574.51,595.68
09년04월3주,575.42,592.12
09년04월4주,574.62,581.76
09년04월5주,535.08,543.87
09년05월1주,555.41,575.66
09년05월2주,562.81,581.79
09년05월3주,572.79,585.01
09년05월4주,579.84,579.01
09년06월1주,614.11,602.20
09년06월2주,656.43,671.63
09년06월3주,672.53,699.26
09년06월4주,672.46,700.22
09년07월1주,666.01,691.89
09년07월2주,648.03,669.12
09년07월3주,614.49,632.97
09년07월4주,622.44,635.17
09년07월5주,638.61,646.40
09년08월1주,688.08,695.33
09년08월2주,704.69,702.82
09년08월3주,717.62,717.02
09년08월4주,704.06,713.66
09년09월1주,699.70,706.46
09년09월2주,672.91,679.43
09년09월3주,661.13,671.05
09년09월4주,643.36,654.56
09년09월5주,618.64,634.40
09년10월1주,600.37,624.70
09년10월2주,605.22,633.00
09년10월3주,635.64,674.97
09년10월4주,655.48,700.54
09년11월1주,680.46,724.76
09년11월2주,672.53,719.82
09년11월3주,664.32,704.21
09년11월4주,659.64,695.22
09년12월1주,657.22,691.47
09년12월2주,660.59,695.99
09년12월3주,639.27,669.31
09년12월4주,636.57,667.37
09년12월5주,643.73,667.96
10년01월1주,693.77,718.23
10년01월2주,705.60,730.16
10년01월3주,693.42,711.06
10년01월4주,668.73,679.23
10년02월1주,681.38,682.30
10년02월2주,689.49,687.84
10년02월3주,679.46,689.10
10년02월4주,685.10,694.16
10년03월1주,707.96,719.63
10년03월2주,719.42,731.59
10년03월3주,726.64,741.01
10년03월4주,722.73,734.08
10년03월5주,712.56,719.95
10년04월1주,742.51,760.35
10년04월2주,747.69,775.37
10년04월3주,738.72,773.03
10년04월4주,722.36,755.71
10년05월1주,748.78,786.23
10년05월2주,738.50,787.52
10년05월3주,710.79,763.17
10년05월4주,676.04,723.76
10년06월1주,679.41,725.14
10년06월2주,707.20,753.57
10년06월3주,719.87,767.34
10년06월4주,727.53,770.43
10년06월5주,722.34,763.29
10년07월1주,724.69,776.66
10년07월2주,698.76,743.14
10년07월3주,698.99,739.16
