구분,정유사평균,SK에너지,GS칼텍스,HD현대오일뱅크,S-OIL,알뜰주유소,(알뜰-자영),자가상표
2008년04월15일,,1593.36,1589.02,1572.87,1575.4,,,
2008년04월16일,,1614.7,1597.08,1561.88,1576.0,,,
2008년04월17일,,1601.1,1602.64,1578.32,1581.27,,,
2008년04월18일,,1609.68,1608.72,1587.31,1586.62,,,
2008년04월19일,,1613.7,1612.51,1593.08,1592.82,,,
2008년04월20일,,1613.99,1614.6,1595.18,1596.07,,,
2008년04월21일,,1616.71,1616.73,1597.82,1599.84,,,
2008년04월22일,,1620.07,1619.93,1601.44,1604.7,,,
2008년04월23일,,1624.08,1629.11,1604.2,1608.34,,,
2008년04월24일,,1647.28,1640.97,1614.34,1619.52,,,
2008년04월25일,,1656.0,1652.8,1630.57,1631.0,,,
2008년04월26일,,1665.48,1658.22,1637.23,1637.76,,,
2008년04월27일,,1655.39,1660.85,1641.11,1640.9,,,
2008년04월28일,,1663.41,1663.39,1644.2,1645.93,,,
2008년04월29일,,1665.46,1666.21,1647.06,1650.59,,,
2008년04월30일,,1668.2,1671.21,1650.37,1653.46,,,
2008년05월01일,,1682.88,1677.93,1655.99,1658.92,,,
2008년05월02일,,1686.65,1682.87,1663.24,1664.69,,,
2008년05월03일,,1690.74,1686.32,1665.87,1668.77,,,
2008년05월04일,,1691.83,1687.98,1670.14,1670.4,,,
2008년05월05일,,1691.83,1688.36,1672.11,1671.64,,,
2008년05월06일,,1692.86,1689.9,1673.16,1673.89,,,
2008년05월07일,,1694.62,1691.65,1675.3,1676.07,,,
2008년05월08일,,1696.7,1693.84,1677.29,1678.15,,,
2008년05월09일,,1699.51,1697.87,1680.51,1682.36,,,
2008년05월10일,,1702.35,1701.28,1684.14,1686.79,,,
2008년05월11일,,1704.19,1703.1,1686.42,1689.02,,,
2008년05월12일,,1704.73,1703.98,1687.84,1690.35,,,
2008년05월13일,,1705.94,1705.83,1689.74,1692.54,,,
2008년05월14일,,1710.29,1717.02,1694.91,1699.38,,,
2008년05월15일,,1742.55,1735.23,1713.02,1718.45,,,
2008년05월16일,,1753.54,1748.37,1731.96,1734.11,,,
2008년05월17일,,1759.91,1757.45,1742.32,1743.66,,,
2008년05월18일,,1762.46,1759.81,1744.91,1747.31,,,
2008년05월19일,,1765.35,1762.14,1748.47,1751.73,,,
2008년05월20일,,1768.55,1766.87,1754.15,1757.99,,,
2008년05월21일,,1780.26,1794.67,1768.32,1772.71,,,
2008년05월22일,,1834.95,1830.58,1804.79,1811.92,,,
2008년05월23일,,1850.26,1848.89,1832.59,1832.46,,,
2008년05월24일,,1857.16,1858.06,1841.3,1842.79,,,
2008년05월25일,,1858.51,1860.49,1844.61,1847.45,,,
