구분,정유사평균,SK에너지,GS칼텍스,HD현대오일뱅크,S-OIL,알뜰주유소,(알뜰-자영),자가상표
2026년06월11일,2006.73,2008.32,2007.34,2005.84,2005.25,1991.47,1972.6,1996.79
2026년06월12일,2006.65,2008.02,2007.22,2005.74,2005.45,1991.37,1972.66,1997.03
2026년06월13일,2006.51,2007.89,2007.11,2005.56,2005.3,1991.31,1972.58,1996.69
2026년06월14일,2006.23,2007.68,2007.01,2005.06,2005.01,1991.22,1972.33,1996.85
2026년06월15일,2006.42,2007.85,2007.21,2005.32,2005.14,1991.06,1971.86,1996.2
2026년06월16일,2006.19,2007.71,2006.91,2005.15,2004.81,1991.03,1971.68,1997.33
2026년06월17일,2006.09,2007.52,2006.96,2004.96,2004.79,1990.99,1971.86,1997.21
2026년06월18일,2005.86,2006.89,2007.12,2004.83,2004.58,1990.99,1971.91,1996.88
2026년06월19일,2005.73,2006.76,2006.78,2004.8,2004.52,1990.67,1971.17,1996.21
2026년06월20일,2005.37,2006.26,2006.35,2004.38,2004.45,1990.59,1970.89,1995.92
2026년06월21일,2005.27,2006.3,2005.97,2004.29,2004.44,1990.66,1970.99,1995.66
