station_id,field,effective_date,lat,lon,value,source_region,metadata_file,coord_valid
A0000002,location,2008-06-12,37.65459697,127.03872541,,서울,metadata.json,True
A0000011,location,2009-05-26,37.51056275,126.84771186,,서울,metadata.json,True
A0000015,location,2012-08-02,37.50169008,127.09723163,,서울,metadata.json,True
A0000035,location,2008-06-24,37.60973046,126.97455773,,서울,metadata.json,True
A0000039,location,2009-12-30,37.56584385,127.05332552,,서울,metadata.json,True
A0000040,location,2008-04-15,37.60670428,126.97104421,,서울,metadata.json,True
A0000042,location,2012-04-05,37.57643934,126.9858109,,서울,metadata.json,True
A0000043,location,2010-12-28,37.60973046,126.97455773,,서울,metadata.json,True
A0000045,location,2012-10-05,37.60984899,126.9748628,,서울,metadata.json,True
A0000046,location,2013-04-01,37.57548768,126.98049479,,서울,metadata.json,True
A0000047,location,2014-09-01,37.57548768,126.98049479,,서울,metadata.json,True
A0000059,location,2008-04-15,37.57716785,126.98959977,,서울,metadata.json,True
A0000061,location,2011-04-11,37.57548768,126.98049479,,서울,metadata.json,True
A0000062,location,2008-04-15,37.57722682,126.99073188,,서울,metadata.json,True
A0000063,location,2008-04-15,37.57643934,126.9858109,,서울,metadata.json,True
A0000064,location,2008-09-27,37.59922331,126.95914575,,서울,metadata.json,True
A0000066,location,2009-12-21,,,,서울,metadata.json,False
A0000068,location,2013-08-12,37.50008935,126.99920954,,서울,metadata.json,True
A0000069,location,2008-08-19,37.59629,126.96420791,,서울,metadata.json,True
A0000070,location,2008-04-15,37.59922331,126.95914575,,서울,metadata.json,True
A0000071,location,2008-06-24,,,,서울,metadata.json,False
A0000072,location,2008-04-15,,,,서울,metadata.json,False
A0000074,location,2010-11-09,37.64683926,127.03944219,,서울,metadata.json,True
A0000086,location,2010-07-02,37.57052614,127.03804405,,서울,metadata.json,True
A0000091,location,2011-07-04,37.55566535,127.0822569,,서울,metadata.json,True
A0000093,location,2008-04-15,37.55705589,126.9745542,,서울,metadata.json,True
A0000094,location,2009-06-27,37.55262919,126.96376369,,서울,metadata.json,True
A0000096,location,2013-12-10,37.55705589,126.9745542,,서울,metadata.json,True
A0000102,location,2010-04-29,37.5577531,126.9735545,,서울,metadata.json,True
A0000104,location,2012-01-04,37.55705589,126.9745542,,서울,metadata.json,True
A0000106,location,2014-09-01,37.53713685,127.0831979,,서울,metadata.json,True
A0000115,location,2008-04-15,37.54927386,126.9126275,,서울,metadata.json,True
A0000120,location,2008-04-15,37.55046246,126.95563785,,서울,metadata.json,True
A0000126,location,2013-07-24,37.50457218,126.9100702,,서울,metadata.json,True
A0000128,location,2009-07-24,37.55705589,126.9745542,,서울,metadata.json,True
A0000129,location,2009-08-03,37.54203008,126.94878283,,서울,metadata.json,True
A0000131,location,2008-04-15,,,,서울,metadata.json,False
A0000132,location,2008-04-15,37.54292118,126.93895065,,서울,metadata.json,True
A0000134,location,2009-06-04,37.56594623,126.9249296,,서울,metadata.json,True
A0000135,location,2008-04-15,37.55969766,126.91711991,,서울,metadata.json,True
A0000138,location,2009-12-04,37.54733264,126.92848009,,서울,metadata.json,True
A0000139,location,2010-07-01,37.5674581,126.90983503,,서울,metadata.json,True
A0000140,location,2010-10-04,37.55771735,126.92890835,,서울,metadata.json,True
A0000141,location,2008-04-15,37.54614788,126.94464323,,서울,metadata.json,True
A0000142,location,2011-03-03,37.56204576,126.91440681,,서울,metadata.json,True
A0000143,location,2011-10-26,37.56204576,126.91440681,,서울,metadata.json,True
A0000144,location,2013-10-02,37.55382931,126.91155017,,서울,metadata.json,True
A0000145,location,2014-05-02,37.55969766,126.91711991,,서울,metadata.json,True
A0000146,location,2014-09-01,37.55969766,126.91711991,,서울,metadata.json,True
A0000152,location,2008-04-15,37.55382931,126.91155017,,서울,metadata.json,True
A0000158,location,2009-11-23,37.56204576,126.91440681,,서울,metadata.json,True
A0000159,location,2010-11-08,37.56316638,126.91318649,,서울,metadata.json,True
A0000161,location,2008-04-18,37.54914868,126.87592662,,서울,metadata.json,True
A0000162,location,2008-04-17,37.54733264,126.92848009,,서울,metadata.json,True
A0000163,location,2008-04-15,37.54615338,126.9400811,,서울,metadata.json,True
A0000164,location,2008-04-18,37.55873779,126.90717517,,서울,metadata.json,True
A0000166,location,2008-04-15,37.55752334,126.92404329,,서울,metadata.json,True
A0000167,location,2008-04-18,37.5674581,126.90983503,,서울,metadata.json,True
A0000168,location,2010-02-22,37.55756633,126.92918316,,서울,metadata.json,True
A0000169,location,2008-04-15,37.56432852,126.90945209,,서울,metadata.json,True
A0000170,location,2008-04-15,37.55574509,126.92166808,,서울,metadata.json,True
A0000171,location,2008-04-15,37.54203008,126.94878283,,서울,metadata.json,True
A0000172,location,2008-04-15,37.54881266,126.91051415,,서울,metadata.json,True
A0000173,location,2008-04-15,37.54983113,126.93258181,,서울,metadata.json,True
A0000174,location,2008-04-15,37.56316638,126.91318649,,서울,metadata.json,True
A0000175,location,2009-01-14,37.55945196,126.91664629,,서울,metadata.json,True
A0000176,location,2010-12-13,37.55752334,126.92404329,,서울,metadata.json,True
A0000177,location,2011-06-13,37.55969766,126.91711991,,서울,metadata.json,True
A0000178,location,2014-10-08,37.58226007,126.92668421,,서울,metadata.json,True
A0000182,location,2012-06-13,37.54614788,126.94464323,,서울,metadata.json,True
A0000189,location,2012-04-11,37.63621381,127.01283886,,서울,metadata.json,True
A0000191,location,2009-12-08,37.5674581,126.90983503,,서울,metadata.json,True
A0000194,location,2008-12-01,37.48050049,126.99866168,,서울,metadata.json,True
A0000196,location,2008-04-15,37.53033647,126.95451556,,서울,metadata.json,True
A0000198,location,2012-04-05,37.64221495,127.07038111,,서울,metadata.json,True
A0000200,location,2008-04-15,37.55239518,126.9683489,,서울,metadata.json,True
A0000202,location,2008-04-15,37.53286951,127.00727546,,서울,metadata.json,True
A0000205,location,2012-04-04,37.54606494,127.0028869,,서울,metadata.json,True
A0000206,location,2011-04-01,37.52222854,126.99331271,,서울,metadata.json,True
A0000207,location,2013-04-08,37.53292403,126.95603699,,서울,metadata.json,True
A0000208,location,2013-05-15,37.53033647,126.95451556,,서울,metadata.json,True
A0000211,location,2008-04-15,37.52500379,126.96450313,,서울,metadata.json,True
A0000212,location,2008-04-15,37.5248171,126.96308983,,서울,metadata.json,True
A0000214,location,2009-02-12,37.53033647,126.95451556,,서울,metadata.json,True
A0000219,location,2008-04-16,37.52222854,126.99331271,,서울,metadata.json,True
A0000221,location,2008-04-18,37.52134769,126.96525352,,서울,metadata.json,True
A0000222,location,2008-04-15,37.53194135,126.96372944,,서울,metadata.json,True
A0000223,location,2008-04-15,37.55021439,126.9724739,,서울,metadata.json,True
A0000224,location,2008-04-15,37.59587561,126.90947473,,서울,metadata.json,True
A0000225,location,2008-04-15,37.53558651,126.96270702,,서울,metadata.json,True
A0000227,location,2008-04-17,37.53441801,126.99616176,,서울,metadata.json,True
A0000228,location,2008-04-15,37.53591198,127.00629335,,서울,metadata.json,True
A0000229,location,2008-04-15,37.54606494,127.0028869,,서울,metadata.json,True
A0000230,location,2008-04-15,37.53470582,126.94572413,,서울,metadata.json,True
A0000231,location,2008-04-15,37.54750788,126.96991189,,서울,metadata.json,True
A0000232,location,2008-04-15,37.5470225,126.9722247,,서울,metadata.json,True
A0000233,location,2008-04-15,37.53756494,127.00069084,,서울,metadata.json,True
A0000234,location,2008-04-15,37.53473049,127.00612004,,서울,metadata.json,True
A0000235,location,2008-07-11,37.52500379,126.96450313,,서울,metadata.json,True
A0000236,location,2009-01-09,37.53174601,126.96471664,,서울,metadata.json,True
A0000237,location,2010-07-16,37.53441801,126.99616176,,서울,metadata.json,True
A0000238,location,2010-07-16,37.53473049,127.00612004,,서울,metadata.json,True
A0000239,location,2008-04-15,37.53976168,126.9603124,,서울,metadata.json,True
A0000240,location,2008-04-15,37.55428493,126.97775502,,서울,metadata.json,True
A0000245,location,2008-04-15,37.53472315,126.95918181,,서울,metadata.json,True
A0000255,location,2009-07-30,37.52796928,126.90787146,,서울,metadata.json,True
A0000261,location,2008-07-09,37.51481925,126.90085788,,서울,metadata.json,True
A0000264,location,2008-04-15,37.5167395,126.85473048,,서울,metadata.json,True
A0000268,location,2008-04-15,37.53551756,126.89796452,,서울,metadata.json,True
A0000270,location,2008-04-15,37.5169621,126.8898304,,서울,metadata.json,True
A0000271,location,2009-03-03,37.55177933,126.83603169,,서울,metadata.json,True
A0000276,location,2008-04-15,37.52179107,126.8946459,,서울,metadata.json,True
A0000277,location,2008-04-15,37.53624992,126.89887583,,서울,metadata.json,True
A0000279,location,2009-08-05,37.53842673,126.89225893,,서울,metadata.json,True
A0000280,location,2012-08-28,,,,서울,metadata.json,False
