기간,휘발유(95RON),휘발유(92RON),등유,경유(0.001%),경유(0.05%),고유황중유(180cst/3.5%),나프타
08년01월01일,,,,,,,
08년01월02일,103.68,102.53,110.67,,113.22,75.45,93.79
08년01월03일,106.63,105.46,113.83,,115.05,79.04,96.1
08년01월04일,106.3,105.28,112.18,,113.45,79.77,95.78
08년01월05일,,,,,,,
08년01월06일,,,,,,,
08년01월07일,104.64,103.56,110.38,,112.52,79.51,94.88
08년01월08일,102.89,101.81,108.58,,110.39,78.05,94.93
08년01월09일,104.06,102.98,109.77,,112.06,76.38,96.28
08년01월10일,103.41,102.33,107.8,,109.87,74.32,95.04
08년01월11일,100.84,99.91,106.8,,108.48,73.05,94.09
08년01월12일,,,,,,,
08년01월13일,,,,,,,
08년01월14일,99.59,98.66,105.5,,107.09,72.5,93.34
08년01월15일,100.97,100.18,106.84,,108.37,73.47,94.41
08년01월16일,97.3,96.66,104.65,,106.13,71.78,91.67
08년01월17일,97.19,96.72,104.84,,106.8,71.82,92.19
08년01월18일,96.89,96.27,103.77,,106.25,70.56,91.97
08년01월19일,,,,,,,
08년01월20일,,,,,,,
08년01월21일,94.15,96.58,102.43,,105.21,69.52,91.53
08년01월22일,93.94,93.37,99.26,,102.24,66.54,88.33
08년01월23일,97.12,96.55,102.21,,104.26,69.18,91.2
08년01월24일,96.63,95.9,101.75,,103.3,68.54,91.38
08년01월25일,99.77,98.62,103.77,,105.32,71.33,93.54
08년01월26일,,,,,,,
08년01월27일,,,,,,,
08년01월28일,99.87,98.72,102.82,,105.14,71.64,93.31
08년01월29일,100.65,99.5,104.76,,106.89,72.44,93.86
08년01월30일,101.45,100.33,105.87,,107.59,73.23,93.66
08년01월31일,100.39,99.3,106.11,,107.31,72.29,92.33
08년02월01일,99.45,98.35,105.44,,107.55,70.88,92.83
08년02월02일,,,,,,,
08년02월03일,,,,,,,
08년02월04일,98.0,96.95,102.94,,105.62,68.68,90.18
08년02월05일,99.33,98.31,103.41,,106.13,68.76,90.78
08년02월06일,98.21,97.31,102.41,,105.22,67.91,89.15
08년02월07일,,,,,,,
08년02월08일,,,,,,,
08년02월09일,,,,,,,
08년02월10일,,,,,,,
08년02월11일,100.41,99.51,106.83,,109.37,68.98,91.57
08년02월12일,101.4,100.57,108.74,,111.11,70.78,92.0
08년02월13일,101.68,100.85,108.91,,111.18,72.02,93.04
08년02월14일,103.72,102.9,111.11,,112.76,74.37,95.46
08년02월15일,104.82,104.0,111.98,,113.28,74.96,96.93
08년02월16일,,,,,,,
08년02월17일,,,,,,,
08년02월18일,105.72,104.9,112.19,,113.36,74.28,96.98
08년02월19일,106.16,105.36,113.26,,114.68,74.8,97.0
08년02월20일,108.54,107.64,115.7,,116.82,75.76,98.61
08년02월21일,110.32,109.42,116.7,,118.48,76.3,99.14
08년02월22일,107.84,106.86,114.21,,117.36,74.93,97.06
08년02월23일,,,,,,,
08년02월24일,,,,,,,
08년02월25일,109.04,108.13,115.78,,118.06,74.79,97.87
08년02월26일,109.49,108.58,115.17,,117.41,73.98,97.88
08년02월27일,112.21,111.3,116.9,,119.37,75.58,98.9
08년02월28일,110.25,109.49,115.12,,117.26,75.09,97.43
08년02월29일,110.89,110.37,117.37,,120.19,77.33,98.18
08년03월01일,,,,,,,
08년03월02일,,,,,,,
08년03월03일,110.32,109.82,117.53,,120.72,77.07,98.65
08년03월04일,109.93,109.41,118.67,,122.08,77.79,99.24
08년03월05일,105.05,104.53,117.73,,120.33,76.03,95.67
08년03월06일,108.47,107.96,121.32,,122.55,77.16,97.83
08년03월07일,109.44,108.93,122.81,,123.81,77.17,98.39
08년03월08일,,,,,,,
08년03월09일,,,,,,,
08년03월10일,110.56,110.06,124.2,,125.21,76.97,99.79
08년03월11일,111.91,111.41,127.16,,128.28,77.1,99.82
08년03월12일,112.61,112.11,127.25,,130.21,76.85,99.3
08년03월13일,113.7,113.2,127.8,,132.0,77.17,98.84
08년03월14일,112.7,112.21,130.3,,134.45,78.52,97.75
08년03월15일,,,,,,,
08년03월16일,,,,,,,
08년03월17일,112.04,111.48,130.78,,134.77,78.93,99.62
08년03월18일,105.35,104.86,127.96,,132.53,77.24,94.61
08년03월19일,108.26,107.68,129.8,,134.04,78.74,97.78
08년03월20일,104.74,104.16,125.15,,128.35,75.59,94.29
08년03월21일,,,,,,,
08년03월22일,,,,,,,
08년03월23일,,,,,,,
08년03월24일,105.28,104.83,123.22,,127.11,75.14,95.48
08년03월25일,107.18,106.63,123.03,,127.76,76.14,96.34
08년03월26일,109.59,109.04,124.11,,128.86,77.13,96.88
08년03월27일,113.5,112.59,128.63,,133.88,79.57,98.78
08년03월28일,113.19,112.29,130.06,,135.3,79.81,97.91
08년03월29일,,,,,,,
08년03월30일,,,,,,,
08년03월31일,112.62,111.71,128.72,,133.94,79.58,98.84
08년04월01일,109.02,108.14,125.06,,129.65,77.79,95.99
08년04월02일,109.81,108.98,126.36,,130.17,78.27,97.65
08년04월03일,112.15,111.32,129.86,,132.54,79.18,99.3
08년04월04일,113.18,112.08,131.82,,133.79,79.75,98.25
08년04월05일,,,,,,,
08년04월06일,,,,,,,
08년04월07일,116.34,114.93,135.14,,136.9,81.55,100.04
08년04월08일,118.36,116.95,137.5,,139.63,82.48,100.5
08년04월09일,116.37,114.96,137.27,,139.78,82.15,100.05
08년04월10일,117.5,116.65,140.59,,143.58,83.88,101.61
08년04월11일,118.52,117.12,140.59,,143.85,85.0,102.03
08년04월12일,,,,,,,
08년04월13일,,,,,,,
08년04월14일,117.09,116.44,137.39,,141.38,84.26,100.88
08년04월15일,117.73,117.15,138.27,,142.72,84.68,100.82
08년04월16일,118.21,117.81,142.88,,146.55,84.86,102.82
