구분,보통휘발유,자동차용경유
2008년04월15일,1681.33,1585.35
2008년04월16일,1692.15,1600.81
2008년04월17일,1686.56,1594.53
2008년04월18일,1689.68,1602.15
2008년04월19일,1692.91,1606.71
2008년04월20일,1693.99,1608.21
2008년04월21일,1695.54,1610.82
2008년04월22일,1698.21,1614.47
2008년04월23일,1703.35,1620.02
2008년04월24일,1713.37,1635.52
2008년04월25일,1719.99,1646.75
2008년04월26일,1725.55,1655.3
2008년04월27일,1723.25,1652.37
2008년04월28일,1726.5,1657.51
2008년04월29일,1728.43,1660.29
2008년04월30일,1731.16,1663.93
2008년05월01일,1737.77,1673.26
2008년05월02일,1741.17,1678.24
2008년05월03일,1743.8,1682.21
2008년05월04일,1744.12,1683.82
2008년05월05일,1744.77,1684.45
2008년05월06일,1745.55,1685.74
2008년05월07일,1746.78,1687.59
2008년05월08일,1748.73,1689.63
2008년05월09일,1751.05,1693.17
2008년05월10일,1753.34,1696.56
2008년05월11일,1754.64,1698.54
2008년05월12일,1755.29,1699.45
2008년05월13일,1757.1,1701.1
2008년05월14일,1763.15,1708.19
2008년05월15일,1780.73,1731.62
2008년05월16일,1790.21,1745.05
2008년05월17일,1795.26,1753.52
2008년05월18일,1797.04,1756.24
2008년05월19일,1798.83,1759.28
2008년05월20일,1802.92,1763.87
2008년05월21일,1813.93,1781.44
2008년05월22일,1841.37,1824.86
2008년05월23일,1853.25,1843.96
2008년05월24일,1858.09,1852.46
2008년05월25일,1859.91,1855.06
2008년05월26일,1862.44,1858.86
2008년05월27일,1865.19,1861.59
2008년05월28일,1870.48,1868.6
2008년05월29일,1888.4,1892.24
2008년05월30일,1896.98,1903.62
2008년05월31일,1900.78,1908.62
2008년06월01일,1903.36,1912.19
2008년06월02일,1905.4,1914.49
2008년06월03일,1907.45,1916.94
2008년06월04일,1908.22,1917.92
2008년06월05일,1907.84,1914.49
2008년06월06일,1907.76,1913.47
2008년06월07일,1907.97,1913.36
2008년06월08일,1907.99,1913.57
2008년06월09일,1907.33,1912.17
2008년06월10일,1907.56,1912.24
2008년06월11일,1907.23,1911.32
2008년06월12일,1905.84,1908.04
2008년06월13일,1905.6,1907.2
2008년06월14일,1905.11,1906.58
2008년06월15일,1904.76,1906.23
2008년06월16일,1904.21,1905.27
2008년06월17일,1904.58,1905.21
2008년06월18일,1905.3,1905.52
2008년06월19일,1906.99,1906.96
2008년06월20일,1907.95,1907.58
2008년06월21일,1907.91,1907.46
2008년06월22일,1907.87,1907.34
2008년06월23일,1906.78,1906.0
2008년06월24일,1907.11,1906.07
2008년06월25일,1906.75,1905.52
2008년06월26일,1907.17,1905.83
2008년06월27일,1907.09,1909.36
2008년06월28일,1907.13,1905.64
2008년06월29일,1907.04,1905.63
2008년06월30일,1905.92,1904.41
2008년07월01일,1906.78,1904.82
2008년07월02일,1908.18,1906.15
2008년07월03일,1911.05,1908.98
2008년07월04일,1912.72,1910.45
2008년07월05일,1914.13,1911.67
2008년07월06일,1915.32,1912.65
2008년07월07일,1915.09,1914.09
2008년07월08일,1919.74,1916.52
2008년07월09일,1924.53,1921.0
2008년07월10일,1935.23,1931.56
2008년07월11일,1941.25,1937.38
2008년07월12일,1945.39,1941.77
2008년07월13일,1947.1,1943.47
2008년07월14일,1947.74,1943.84
2008년07월15일,1949.9,1945.81
2008년07월16일,1950.02,1947.75
2008년07월17일,1948.04,1943.8
2008년07월18일,1947.0,1942.85
2008년07월19일,1946.11,1941.98
2008년07월20일,1945.74,1941.57
2008년07월21일,1943.12,1938.79
2008년07월22일,1941.85,1937.7
2008년07월23일,1937.76,1933.82
2008년07월24일,1925.29,1921.33
2008년07월25일,1916.11,1912.13
