상표,구분,이름,주소
sk,공장,공장,울산 고사동 110
sk,저유소,군산물류센터,전북 군산시 소룡동 1-27
sk,저유소,대구물류센터,대구 동구 내곡동 340
sk,저유소,대전(경질유),대전 동구 신상동 220-2
sk,저유소,대전(중질유),대전 대덕구 와동 105
sk,저유소,동해물류센터,강원 동해시 구호동 288
sk,저유소,마산물류센터,경남 마산시 합포구 가포동 602
sk,저유소,목포물류센터,전남 영암군 삼호면 난전리 1685-11
sk,저유소,서울물류센터,경기 과천시 주암동 110-1
sk,저유소,영남물류센터,부산 영도구 창학1동 330-1
sk,저유소,원주물류센터,강원 원주시 호저면 만종리 1107-2
sk,저유소,인천(항동),인천 중구 항동 7가 108
sk,저유소,전주물류센터,전북 익산시 촌포면 쌍정리 254-5
sk,저유소,제주물류센터,제주 제주시 일도2동 233-1
sk,저유소,춘천물류센터,강원 춘천시 퇴계동 865-2
sk,저유소,포항물류센터,경북 포항시 송도동 산 1-73
sk,저유소,호남물류센터,광주 광산구 하남동 503-1
sk,대리점,(유)경남가스현풍(하)주유소,대구광역시 달성군 현풍면 성하리 329
sk,대리점,(유)청정실업,부산광역시 사상구 학장동 194-18
sk,대리점,(유)청정실업 직영 푸른충전소,경남 김해시삼계동 923-2
sk,대리점,(유)청정실업직영 석전가스충전소,경남 마산시 내서읍 중리 1119-18
sk,대리점,(유)한샘,충남 서산시 석림동 436-2
sk,대리점,(유)흥진유화,전남 여수시 화양면 창무리 303-2번지
sk,대리점,(이천)우성LPG충전소,경기도 이천시 부발읍 신원리 558-54
sk,대리점,(자)유한가스,대전광역시 중구 중촌동 198-1
sk,대리점,(주) 중앙에너비스 삼중가스,서울시 금천구 독산2동 1059
sk,대리점,(주)가야유통 장유고속충전소,경남 김해시 장유면 부곡리 53-1
sk,대리점,(주)건화 화림충전소,경기도 포천군 소홀읍 이동교리 562-1
sk,대리점,(주)고속도로관리공단 홍성(상),충남 홍성군 은하면 금국리 292-4
sk,대리점,(주)교하에너지,경기도 파주시 교하읍 당하리 303
sk,대리점,(주)그린피아충전소,경기도 과천시 갈현동 313-7
sk,대리점,(주)남양가스,서울시 양천구 신월동 998-4
sk,대리점,(주)남영전구 충주(하) 주유소,충북 충주시 가금면 용전리 산50-3
sk,대리점,(주)당진엘피지,충남 당진군 당진읍 원당리 957-5
sk,대리점,(주)대전개인택시충전소,대전광역시 중구 안영동 280
sk,대리점,(주)대창E&T 직영 국일충전소,광주광역시 북구 두암동 352-1
sk,대리점,(주)대흥가스,서울시 양천구 신월동 131-7
sk,대리점,(주)동일로가스,서울시 노원구 상계동 1034-1
sk,대리점,(주)모정테크,경기도 양주시 율정동 527-2
sk,대리점,(주)비행장에너지,경기도 수원시 권선구 대황교동 259-12
sk,대리점,(주)삼건사 정읍(상)휴게소,전북 정읍시 북면 남산리 산20-5
sk,대리점,(주)삼원에너지,경기도 구리시 아천동 97-3
sk,대리점,(주)삼전(명성충전소),경기도 고양시 벽제동 229
sk,대리점,(주)상현상사,서울시 강남구 논현동 207
sk,대리점,(주)서강이엔,경기도 고양시 덕양구 덕은동 557-7
sk,대리점,(주)승진에너지거창담양방향주유소,경남 거창군 가조면 도리 산 181
sk,대리점,(주)시흥에너지,경기도 시흥시 월곶동 765-1
sk,대리점,(주)안국상사,서울 중구 충무로 4가 87
sk,대리점,(주)언양남강에너지,울산광역시 울주군 언양읍 태기리 686-3
sk,대리점,(주)영동가스,서울시 서초구 잠원동 1-126
sk,대리점,(주)와이이에스 자유로충전소,경기도 고양시 덕양구 행주외동 27
sk,대리점,(주)용암엘피지충전소,경기도 양주시 은현면 용암리 267-4
sk,대리점,(주)웃는사람들 군위(하),경북 군위군 군위읍 오곡리 445-2
sk,대리점,(주)원일유통 춘천상충전소,강원도 춘천시 동내면 사암리 산 123-2
sk,대리점,(주)장위가스,서울시 성북구 장위동 44-3
sk,대리점,(주)진양가스,서울시 강남구 도곡동 552-5
sk,대리점,(주)청담산업,경기도 파주시 교하읍 문발리 280-10 202호
sk,대리점,(주)태종에너지 영도충전소,부산광역시 영도구 영선동 4가 7-1
sk,대리점,(주)한스글로벌,대전광역시 서구 정림동 8-28
sk,대리점,(주)한유에너지 공항가스,경기도 부천시 오정구 고강동 218-6
sk,대리점,(주)한유에너지 수지충전소,경기도 용인시 기흥구 보정동 474-9
sk,대리점,(주)한진가스,경기도 용인시 처인구 삼가동 250-7
sk,대리점,(주)홍릉가스,서울시 동대문구 청량리동 205-776
sk,대리점,(주)희망가스,경기도 수원시 팔달구 우만동 241
sk,대리점,(합)대신에너지 연산충전소,충남 논산시 연산면 청동리 259-28
sk,대리점,(합)한성가스,인천광역시 남동구 간석동 617-8
sk,대리점,39아산주유소,충남 아산시염치읍 서원리 293-3
sk,대리점,OK LPG충전소,충남 부여군 부여읍 가탑리 188-5
sk,대리점,SK네트웍스,서울 양천구 목2동 114-1
sk,대리점,SK영강LPG충전소,경북 문경 산양면 반곡리 636-3
sk,대리점,㈜건화,경기 포천군 소흘읍 이동교리 563-4
sk,대리점,㈜공항석유,서울시 강서구 공항동 18-78 범천빌딩
sk,대리점,㈜공항석유 가평휴게서(춘천방향),경기도 가평군 설악면 미사리 149
sk,대리점,㈜공항석유 가평휴게소(서울방향),경기도 가평군 설악면 미사리 64-28
sk,대리점,㈜대광석유,전북 전주시 덕진구 서노송동 658-22
sk,대리점,㈜대창E&T,광주 서구 치평동 1217
