p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
8,14,-3395.573680992591,-3195.633295302567,True,1.1807784043641403e-26,0.18172014088640018,14,1095,True,True
7,14,-3386.7750192060275,-3191.833143158254,True,8.343167687569756e-31,0.0049403532488657255,14,1095,False,True
8,15,-3395.8815226456845,-3190.94262731341,True,9.544303275765267e-27,0.16628246337931918,14,1095,True,True
9,14,-3394.9878773177315,-3190.048981985457,True,4.1126676430487833e-26,0.24055172092084195,14,1095,True,True
9,15,-3395.8471326997997,-3185.9097277252745,True,2.012850892337869e-26,0.22306582586971907,14,1095,True,True
7,15,-3385.8480357855087,-3185.9076500954848,True,1.2979957028125633e-30,0.0046928685610227745,14,1095,False,True
8,16,-3394.959529281262,-3185.0221243067367,True,4.229821292239194e-27,0.20984669566563202,14,1095,True,True
10,14,-3393.2574818754456,-3183.3200769009204,True,1.2282380485098475e-26,0.059738984036848096,15,1095,True,True
8,13,-3376.8372406684093,-3181.895364620636,True,2.6225841085570143e-27,0.1404727351613907,14,1095,True,True
7,16,-3384.5794861398163,-3179.6405908075417,True,3.330399193924702e-30,0.005391344693046522,14,1095,False,True
9,16,-3394.5618856427063,-3179.6259710259305,True,1.301984087712049e-26,0.26439564430434453,14,1095,True,True
10,15,-3393.991312134729,-3179.055397517953,True,4.123574185023805e-27,0.05969453085938634,15,1095,True,True
8,17,-3392.9597549133186,-3178.023840296543,True,7.64381410907254e-27,0.209986322087891,14,1095,True,True
11,14,-3392.665290695346,-3177.72937607857,True,7.440981041400801e-28,0.031170219579295107,16,1095,False,True
9,13,-3377.2877434957054,-3177.3473578056814,True,1.5546714729890554e-26,0.20924922770480514,14,1095,True,True
7,13,-3363.2751489505617,-3173.331782545039,True,3.46520794193592e-31,0.004310396961526311,14,1095,False,True
11,15,-3393.2351823212393,-3173.300758062213,True,1.8658572167897725e-28,0.03335774212990877,16,1095,False,True
10,16,-3392.8095209654457,-3172.8750967064193,True,2.6729323927291478e-27,0.06500812197874219,15,1095,True,True
7,17,-3382.582533475421,-3172.6451285008957,True,7.751258909294444e-30,0.005444774396084609,14,1095,False,True
9,17,-3392.568050076604,-3172.6336258175775,True,2.3403429475755756e-26,0.2659554720097893,14,1095,True,True
8,18,-3392.234049078468,-3172.2996248194418,True,1.4874886619421483e-26,0.2074137302985156,14,1095,True,True
12,14,-3390.897196374747,-3170.962772115721,True,7.248122878309118e-28,0.03230151870789732,17,1095,False,True
10,13,-3375.3935737199254,-3170.454678387651,True,4.855470845633669e-27,0.058324709627181136,15,1095,True,True
8,19,-3393.108815521542,-3168.175881620265,True,9.790577026259174e-27,0.21793106548552582,14,1095,True,True
7,18,-3382.4994307618326,-3167.563516145057,True,2.4879059148870173e-29,0.004545653490499227,14,1095,False,True
11,16,-3392.240983842289,-3167.308049941012,True,8.131243549349475e-29,0.03848257306772119,16,1095,False,True
9,18,-3391.8134545104585,-3166.8805206091815,True,4.915783029647272e-26,0.27844616190403243,14,1095,True,True
12,15,-3391.279592537996,-3166.346658636719,True,2.128107527682797e-28,0.031302235083327926,17,1095,False,True
10,17,-3390.8328235124955,-3165.8998896112184,True,3.4557823943933256e-27,0.06532862112619496,15,1095,True,True
8,20,-3395.205737961731,-3165.274294418203,True,3.587789830268727e-27,0.1682125062197852,14,1095,True,True
13,14,-3389.03300316701,-3164.100069265733,True,5.696297779292678e-28,0.0240444485381727,18,1095,False,True
11,13,-3373.576110434148,-3163.638705459623,True,2.4461993533773638e-27,0.022172163624416995,16,1095,False,True
7,19,-3383.473239859929,-3163.5388156009026,True,8.036644607000269e-30,0.00306035573144816,14,1095,False,True
9,19,-3392.405183069136,-3162.4737395256084,True,3.7823012401631746e-26,0.3092093751994774,14,1095,True,True
7,20,-3386.3375893170323,-3161.4046554157553,True,1.9320226599799837e-30,0.003798492663061541,14,1095,False,True
8,21,-3395.778750385248,-3160.8487971994696,True,3.03775942821755e-27,0.22482844159610488,14,1095,True,True
11,17,-3390.339434852355,-3160.4079913088276,True,8.626549100601368e-29,0.038283506277055075,16,1095,False,True
12,16,-3390.305711836866,-3160.3742682933384,True,1.1003111708092016e-28,0.036066115349160384,17,1095,False,True
10,18,-3390.0208219197275,-3160.0893783762,True,5.10942417720858e-27,0.06635305952605555,15,1095,True,True
9,20,-3394.567171114697,-3159.6372179289187,True,5.0696865523893284e-27,0.24887087699713067,14,1095,True,True
13,15,-3389.3289463255205,-3159.397502781993,True,1.2697570341010982e-28,0.026796221474489502,18,1095,False,True
8,22,-3398.8544856921835,-3158.9260228641547,True,1.5559015701222478e-27,0.3065446216831295,14,1095,True,True
8,12,-3347.9871988319264,-3158.0438324264037,True,2.4927623222147648e-29,0.04070514233672485,14,1095,False,True
14,14,-3387.4501604136103,-3157.5187168700827,True,4.287624840654221e-28,0.009819885840399625,19,1095,False,True
12,13,-3371.576110441353,-3156.6401958245774,True,2.224764501927957e-27,0.022164154986291852,17,1095,False,True
7,21,-3386.117287399805,-3156.185843856277,True,1.4357797400128116e-30,0.005397576267523803,14,1095,False,True
10,19,-3390.6241867452063,-3155.694233559428,True,5.821894522106224e-27,0.08804031177071898,15,1095,True,True
9,21,-3395.331027769297,-3155.4025649412683,True,3.362643311113645e-27,0.34822487129049057,14,1095,True,True
11,18,-3389.988939062434,-3155.0589858766557,True,1.7674528140469505e-28,0.04160135761283795,16,1095,False,True
15,14,-3389.7493123982395,-3154.819359212461,True,7.69968640798526e-28,0.02029998679141474,20,1095,False,True
9,12,-3349.2342224592276,-3154.292346411454,True,1.0799843843422618e-28,0.04877536718366853,14,1095,False,True
9,22,-3398.948031416907,-3154.0210589466274,True,1.3829901879723477e-27,0.5117325114210185,14,1095,True,True
