p,q,aic,bic,stable,intl_block_p,lb_pvalue,lb_lag,n_obs,train_lb_pass,train_intl_pass
13,5,487.9347723533261,582.4803085780618,True,9.573779830848908e-48,0.17745538746562395,18,156,True,True
14,5,486.62208469822366,584.2174769302088,True,4.764648786225583e-49,0.04536739179448658,19,156,False,True
15,5,483.7656207657776,584.4108690050123,True,5.408899247248023e-49,0.028647430551513697,20,156,False,True
13,4,493.8149964652933,585.3106766827794,True,2.0789690336356752e-50,0.010203474478298478,18,156,False,True
13,6,489.253414514582,586.8488067465672,True,3.309055533958931e-47,0.19197204128685308,18,156,True,True
14,4,492.7770887553056,587.3226249800413,True,2.594820667723918e-50,0.0005616452796352925,19,156,False,True
17,5,480.72034353107495,587.4653037848087,True,1.674565859688231e-46,0.0100348797743855,22,156,False,True
14,6,488.2893759669432,588.9346242061779,True,3.779331313341848e-48,0.055805275761294675,19,156,True,True
15,6,485.551959459256,589.2470637057403,True,3.059696024918997e-48,0.03432760971343132,20,156,False,True
15,4,491.8585879773739,589.4539802093591,True,1.0742114936323815e-50,0.0011100762844761492,20,156,False,True
16,5,485.7649547858824,589.4600590323666,True,1.8662820398250683e-48,0.024045947662309688,21,156,False,True
13,7,490.0282085551434,590.6734567943781,True,1.1759102278029015e-47,0.15264591153270246,18,156,True,True
13,8,487.7610472703126,591.4561515167968,True,1.6048315444005284e-51,0.07822762438538827,18,156,True,True
17,6,482.44365204778353,592.2384683087669,True,2.1408296127598408e-45,0.006263124235479018,22,156,False,True
18,5,482.7192815438442,592.5140978048275,True,2.6260218929430215e-45,0.008546540727359305,23,156,False,True
14,7,489.2428260218005,592.9379302682847,True,9.985635866236366e-48,0.04445357084501931,19,156,False,True
10,5,507.602271696978,592.998239899965,True,3.904233011311915e-48,0.0007264266630642156,15,156,False,True
16,4,492.6090897284617,593.2543379676964,True,9.002428043237813e-51,0.0017002386309649224,21,156,False,True
15,7,486.8828761808577,593.6278364345915,True,7.499083529001633e-48,0.029272718474757854,20,156,False,True
14,8,487.2384519071041,593.9834121608379,True,4.3931024469169413e-51,0.02995604016202807,19,156,False,True
17,4,490.47490268796554,594.1700069344498,True,1.4048588558580688e-49,0.00048777758357965563,22,156,False,True
15,8,484.4376313715214,594.2324476325048,True,1.6682591171451852e-50,0.011455104897957766,20,156,False,True
16,6,487.55031655591057,594.2952768096444,True,1.0791077496938046e-47,0.02812716159323833,21,156,False,True
10,4,512.6508048791782,594.9969170749156,True,2.1537787742984237e-50,9.133245415702782e-06,15,156,False,True
19,5,482.8522949442472,595.6969672124801,True,1.1931645980390788e-45,0.0019683440593343863,24,156,False,True
13,9,489.5496933752186,596.2946536289525,True,1.2478306333873628e-50,0.09040469930784228,18,156,True,True
10,6,508.3420967131718,596.7879209234084,True,3.08788326006457e-48,0.0019148501128600456,15,156,False,True
17,7,484.1406282713937,596.9853005396266,True,5.6601245400078e-45,0.007307976293558287,22,156,False,True
18,6,484.43436892694007,597.2790411951729,True,3.482357783908862e-44,0.005034064636583233,23,156,False,True
17,8,481.86479962128146,597.7593278967638,True,3.4880542051504544e-47,0.0027027516191418023,22,156,False,True
11,5,509.46864439394705,597.9144686041836,True,6.129021858884429e-47,0.0006417003989242335,16,156,False,True
20,5,482.26588766998725,598.1604159454696,True,5.199673117683678e-46,0.0015420638018119898,25,156,False,True
10,8,503.84629802723947,598.3918342519751,True,4.5878354093599503e-54,0.0021594756645768047,15,156,False,True
14,9,488.84766529492214,598.6424815559055,True,4.286332326918658e-50,0.04835921693418053,19,156,False,True
15,9,485.82927528244346,598.6739475506763,True,1.0843956470876255e-49,0.022225009255608028,20,156,False,True
16,7,488.88260553611735,598.6774217971007,True,2.791083360142467e-47,0.0230185502697727,21,156,False,True
9,4,519.4133161859512,598.7095723744392,True,3.0678272489370003e-47,0.0014910475515651268,14,156,False,True
9,5,516.5346248029491,598.8807369986866,True,1.958817479526865e-46,0.005214174606797768,14,156,False,True
18,4,492.3792835333273,599.1242437870611,True,1.4957585388678385e-48,0.0006816606738017614,23,156,False,True
16,8,486.42900904008224,599.2736813083151,True,8.204115408843199e-50,0.00942418233176564,21,156,False,True
13,3,511.1798987689509,599.6257229791875,True,1.2047271435736663e-46,0.008266137175579504,18,156,False,True
13,10,490.07005032020413,599.8648665811875,True,1.45275950705069e-53,0.09781219737737261,18,156,True,True
11,4,514.6229701926367,600.0189383956238,True,1.7918083995644734e-49,9.042554796238002e-06,16,156,False,True
19,6,484.5510319486332,600.4455602241155,True,1.5823929554506342e-44,0.0011354883824290134,24,156,False,True
10,7,509.54512081190484,601.040801029391,True,2.228871017004648e-49,0.0017264158832754955,15,156,False,True
9,6,515.8066533590629,601.2026215620499,True,3.9347985451164877e-45,0.014473544923656082,14,156,False,True
11,6,510.3063680052199,601.802048222706,True,9.097846322423396e-48,0.0015586248704718276,16,156,False,True
9,8,510.38600565324253,601.8816858707287,True,1.109968442195521e-47,0.022987569628462438,14,156,False,True
13,11,489.0980431391661,601.942715407399,True,2.6984581675617814e-54,0.16358587485090773,18,156,True,True
12,5,510.4958965739632,601.9915767914493,True,3.527341856890391e-45,0.001440500164861243,17,156,False,True
18,7,486.1381682198229,602.0326964953053,True,1.4198973053692733e-43,0.005805867240364892,23,156,False,True
19,4,492.4509859324183,602.2458021934017,True,5.78945258259799e-49,0.00016803278312215906,24,156,False,True
17,9,483.4906275668024,602.4350118495344,True,3.486039917405435e-47,0.005251356520970297,22,156,False,True
14,10,489.69360737116483,602.5382796393977,True,2.5532370085055135e-53,0.03880984442880094,19,156,False,True
18,8,483.85515678429834,602.7995410670303,True,1.7924951981569186e-45,0.0016943716613785917,23,156,False,True
14,3,511.38930758142465,602.8849877989107,True,1.9436322232190685e-47,0.002542407364526355,19,156,False,True
15,10,487.0273569453744,602.9218852208568,True,2.0836616150693187e-54,0.014797094109587431,20,156,False,True
20,6,484.04895635403693,602.9933406367688,True,7.494826547624708e-45,0.0009345573588475767,25,156,False,True
21,5,484.1744607953094,603.1188450780414,True,2.1378155719980605e-45,0.001602916311412959,26,156,False,True
11,8,505.81311525342034,603.4085074854055,True,4.752800816704265e-54,0.0015672612778238144,16,156,False,True
10,9,505.8243595897392,603.4197518217244,True,3.501913412440198e-53,0.0021322341974461265,15,156,False,True
20,4,490.67137819645217,603.516050464685,True,8.078242660325865e-49,0.00019613538479338005,25,156,False,True
16,9,487.82070143104295,603.7152297065254,True,3.460903882243333e-49,0.018676143112388598,21,156,False,True
12,4,515.489331459786,603.9351556700225,True,1.6298966905023776e-47,3.1173172511066766e-05,17,156,False,True
15,11,485.20128710301094,604.1456713857428,True,5.1674235575674606e-55,0.03906959768743907,20,156,False,True
14,11,488.822419280835,604.7169475563173,True,7.822230436662008e-54,0.08419414505582858,19,156,True,True
13,12,488.88125740272335,604.7757856782057,True,9.479296337464417e-55,0.15388788234487727,18,156,True,True
19,7,485.8940298408439,604.8384141235758,True,3.2330901400180207e-44,0.0014498187252307865,24,156,False,True
9,7,516.5135914352566,604.9594156454931,True,1.8200988622937243e-46,0.0064510900168976105,14,156,False,True
9,11,504.7786882744485,605.4239365136832,True,2.8230767705364165e-57,0.03727120383850754,14,156,False,True
12,6,511.4202731083365,605.9658093330722,True,2.813738509629628e-47,0.0036096716054803764,17,156,False,True
11,7,511.5391312074425,606.0846674321781,True,1.8263042126894213e-49,0.0014300113562052722,16,156,False,True
10,10,505.7011553207699,606.3464035600045,True,1.5098291904924796e-56,0.010636375339291338,15,156,False,True
17,10,484.5060415874379,606.5002818774194,True,1.737307246138373e-50,0.0026678948981404935,22,156,False,True
17,11,481.49294180656034,606.5370381037914,True,1.5355957986835285e-50,0.02199933399834667,22,156,False,True
9,9,512.3216931327675,606.867229357503,True,5.360050851182697e-47,0.020550291641201632,14,156,False,True
15,12,484.8824010044684,606.8766412944499,True,2.733197158055172e-54,0.03922035804754115,20,156,False,True
19,8,485.0924402340847,607.0866805240662,True,5.64359313675087e-45,0.0008636201845709292,24,156,False,True
20,7,485.2502190830754,607.2444593730569,True,3.01409537626605e-45,0.0010362230211616304,25,156,False,True
12,8,506.71084538026236,607.3560936194971,True,7.007786556691129e-54,0.005638733689705383,17,156,False,True
22,5,485.4267761375276,607.4210164275091,True,2.8357440118957056e-45,0.0025424971654658055,27,156,False,True
18,9,485.48243474028004,607.4766750302615,True,6.196787952406708e-46,0.002952977122949593,23,156,False,True
14,12,488.7692804643313,607.7136647470633,True,8.124013212161541e-54,0.09846815554839973,19,156,True,True
21,6,485.93828630894484,607.9325265989263,True,3.2900329691718623e-44,0.0009907124034966193,26,156,False,True
15,3,513.3881212871963,607.9336575119321,True,1.4934258499968114e-48,0.0019546491232317396,20,156,False,True
16,10,489.0253181023807,607.9697023851127,True,5.054064427990649e-54,0.012952722589875006,21,156,False,True
11,9,507.7918440833082,608.4370923225429,True,3.49274158983986e-53,0.0015311583445879354,16,156,False,True
21,4,492.6713754572325,608.5659037327149,True,3.6218920499875944e-47,0.00019184744451710364,26,156,False,True
16,11,487.1344572133346,609.1286975033161,True,1.5662041223890983e-54,0.03246581174336124,21,156,False,True
16,3,511.60278980174917,609.1981820337344,True,4.658788586024771e-50,0.0013821199257977965,21,156,False,True
10,11,505.6496882933119,609.3447925397961,True,7.99572023276854e-57,0.024813534035793904,15,156,False,True
17,3,508.82644829998776,609.4716965392224,True,7.710785791881842e-49,0.00040067893557506546,22,156,False,True
13,13,490.74895543504863,609.6933397177806,True,4.233334832336341e-54,0.1697738347325886,18,156,True,True
17,12,481.70914316334483,609.8030954678254,True,2.056434162994882e-51,0.01620818182148554,22,156,False,True
8,11,512.2252686114634,609.8206608434486,True,5.560763280299845e-58,0.061376041924943,13,156,True,True
20,8,485.2999795398438,610.3440758370748,True,1.361466735886428e-45,0.0009513542432836745,25,156,False,True
9,12,506.75439241702924,610.4494966635135,True,3.2981945294369516e-58,0.03854426107159361,14,156,False,True
12,7,512.8669890366028,610.462381268588,True,4.901864026445537e-49,0.0028816149678066575,17,156,False,True
11,10,507.66814684575974,611.363251092244,True,4.277378572394695e-56,0.007288331106910925,16,156,False,True
18,10,486.46295259214105,611.5070488893721,True,7.630565705172518e-49,0.0014370491792700922,23,156,False,True
8,5,532.2482761619599,611.5445323504479,True,1.4593683529232637e-44,0.003539696876418153,13,156,False,True
18,11,483.4889600664467,611.5829123709273,True,2.2174555995514032e-49,0.010345732128916063,23,156,False,True
19,9,486.62623327227436,611.6703295695054,True,6.976082338056234e-46,0.0016105105754337056,24,156,False,True
15,13,486.72223284636993,611.766329143601,True,2.3602000177648678e-54,0.04360032568306056,20,156,False,True
16,12,486.8559655000311,611.9000617972622,True,7.640961390859644e-54,0.03209654801065627,21,156,False,True
9,10,514.3140620098076,611.9094542417928,True,2.3829600957082425e-55,0.021743978621944195,14,156,False,True
22,6,487.0495964173907,612.0936927146217,True,5.371711081485341e-44,0.0015103928546278008,27,156,False,True
21,7,487.15604645021267,612.2001427474437,True,1.2945750560024924e-44,0.0010061051879218725,26,156,False,True
22,4,493.3720629283878,612.3164472111198,True,1.831832483829111e-47,0.0001961947050673161,27,156,False,True
