date,actual_retail,intl_raw,actual_refinery_pre_raw,is_excluded,intl_irf,intl_irf_up,intl_irf_down,intl_irf_diff_1,intl_irf_diff_7,intl_irf_vol_7,intl_irf_vol_14,intl_irf_ma_7,intl_irf_ma_30,intl_raw_diff_1_diag,intl_raw_diff_7_diag,intl_raw_vol_7_diag,trend,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12
2008-04-15,1585.35,,,1,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-16,1600.81,,,1,,,,,,,,,,,,,0.0027378507871321013,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-17,1594.53,,,1,,,,,,,,,,,,,0.0054757015742642025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-18,1602.15,,,1,,,,,,,,,,,,,0.008213552361396304,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-19,1606.71,,,1,,,,,,,,,,,,,0.010951403148528405,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-20,1608.21,,,1,,,,,,,,,,,,,0.013689253935660506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-21,1610.82,,,1,,,,,,,,,,,,,0.01642710472279261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-22,1614.47,,,1,,,,,,,,,,,,,0.019164955509924708,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-23,1620.02,,,1,,,,,,,,,,,,,0.02190280629705681,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-24,1635.52,,,1,,,,,,,,,,,,,0.024640657084188913,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-25,1646.75,,,1,,,,,,,,,,,,,0.02737850787132101,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-26,1655.3,,,1,,,,,,,,,,,,,0.030116358658453114,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-27,1652.37,,,1,,,,,,,,,,,,,0.03285420944558522,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-28,1657.51,,,1,,,,,,,,,,,,,0.03559206023271732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-29,1660.29,,,1,,,,,,,,,,,,,0.038329911019849415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-30,1663.93,,,1,,,,,,,,,,,,,0.04106776180698152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,1673.26,,,1,,,,,,,,,,,,,0.04380561259411362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-02,1678.24,,,1,,,,,,,,,,,,,0.04654346338124572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-03,1682.21,,,1,,,,,,,,,,,,,0.049281314168377825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-04,1683.82,,,1,,,,,,,,,,,,,0.05201916495550993,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-05,1684.45,,,1,,,,,,,,,,,,,0.05475701574264202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-06,1685.74,,,1,,,,,,,,,,,,,0.057494866529774126,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-07,1687.59,,1005.27,1,,,,,,,,,,,,,0.06023271731690623,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-08,1689.63,,,1,,,,,,,,,,,,,0.06297056810403832,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
