date,유종,국내유가_원L,적정가격_미정책_원L,적정범위_미정책_하한_원L,적정범위_미정책_상한_원L,적정가격_정책적용_원L,적정범위_정책적용_하한_원L,적정범위_정책적용_상한_원L,정책효과_원L,미정책_vs_pred_gross_diff_원L,pred_gross,band_low,band_high,기준유류세_exVAT_원L,정책감면액_exVAT_원L,정책감면액_VAT포함참고_원L,정책적용_시프트_원L,유류세정책명,유류세인하율_pct,유류세정책_적용여부,최고가격제정책명,정유사공급가격상한_원L,최고가격제_적용여부,최고가격제_수치반영여부,정책적용여부_전체,그래프_핑크기간,정책라벨,selected_model_name,selected_band_coverage,fair_retail_direct,retail_gap_원L,미정책_valid,미정책_inside,미정책_above,미정책_below,정책적용_valid,정책적용_inside,정책적용_above,정책적용_below
2008-04-15,휘발유,1681.33,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-16,휘발유,1692.15,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-17,휘발유,1686.56,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-18,휘발유,1689.68,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-19,휘발유,1692.91,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-20,휘발유,1693.99,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-21,휘발유,1695.54,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-22,휘발유,1698.21,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-23,휘발유,1703.35,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-24,휘발유,1713.37,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-25,휘발유,1719.99,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-26,휘발유,1725.55,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-27,휘발유,1723.25,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-28,휘발유,1726.5,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-29,휘발유,1728.43,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-04-30,휘발유,1731.16,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-01,휘발유,1737.77,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-02,휘발유,1741.17,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-03,휘발유,1743.8,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-04,휘발유,1744.12,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-05,휘발유,1744.77,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-06,휘발유,1745.55,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-07,휘발유,1746.78,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-08,휘발유,1748.73,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-09,휘발유,1751.05,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-10,휘발유,1753.34,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-11,휘발유,1754.64,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-12,휘발유,1755.29,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-13,휘발유,1757.1,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-14,휘발유,1763.15,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-15,휘발유,1780.73,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-16,휘발유,1790.21,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-17,휘발유,1795.26,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-18,휘발유,1797.04,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-19,휘발유,1798.83,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-20,휘발유,1802.92,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-21,휘발유,1813.93,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-22,휘발유,1841.37,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-23,휘발유,1853.25,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-24,휘발유,1858.09,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-25,휘발유,1859.91,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-26,휘발유,1862.44,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-27,휘발유,1865.19,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-28,휘발유,1870.48,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-29,휘발유,1888.4,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-30,휘발유,1896.98,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-05-31,휘발유,1900.78,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-01,휘발유,1903.36,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-02,휘발유,1905.4,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-03,휘발유,1907.45,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-04,휘발유,1908.22,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-05,휘발유,1907.84,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-06,휘발유,1907.76,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-07,휘발유,1907.97,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-08,휘발유,1907.99,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-09,휘발유,1907.33,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-10,휘발유,1907.56,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-11,휘발유,1907.23,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-12,휘발유,1905.84,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-13,휘발유,1905.6,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-14,휘발유,1905.11,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-15,휘발유,1904.76,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-16,휘발유,1904.21,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-17,휘발유,1904.58,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-18,휘발유,1905.3,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-19,휘발유,1906.99,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-20,휘발유,1907.95,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-21,휘발유,1907.91,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-22,휘발유,1907.87,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-23,휘발유,1906.78,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-24,휘발유,1907.11,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-25,휘발유,1906.75,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-26,휘발유,1907.17,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-27,휘발유,1907.09,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-28,휘발유,1907.13,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-29,휘발유,1907.04,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-06-30,휘발유,1905.92,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-01,휘발유,1906.78,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-02,휘발유,1908.18,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-03,휘발유,1911.05,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-04,휘발유,1912.72,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-05,휘발유,1914.13,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-06,휘발유,1915.32,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-07,휘발유,1915.09,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-08,휘발유,1919.74,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-09,휘발유,1924.53,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-10,휘발유,1935.23,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-11,휘발유,1941.25,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-12,휘발유,1945.39,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-13,휘발유,1947.1,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-14,휘발유,1947.74,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-15,휘발유,1949.9,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-16,휘발유,1950.02,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-17,휘발유,1948.04,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
2008-07-18,휘발유,1947.0,,,,,,,,,,,,745.89,74.589,82.0479,82.0479,수송용 유류세 10% 한시 인하,10.0,True,,,False,,True,True,수송용 유류세 10% 한시 인하 (10%),direct,0.7,,,False,False,False,False,False,False,False,False
