유종,정책시작일,정책명,인하율_pct,정책효과_원L,정책감면액_exVAT_원L,정책감면액_VAT포함참고_원L,미정책가격,정책적용가격
휘발유,2018-11-06,수송용 유류세 15% 한시 인하,15.0,123.07185000000004,111.8835,123.07185000000001,1647.3694151357506,1524.2975651357506
휘발유,2019-05-07,수송용 유류세 7% 인하(단계적 환원),7.0,57.43353000000002,52.212300000000006,57.43353000000001,1611.8816491814569,1554.4481191814568
휘발유,2021-11-12,수송용 유류세 20% 한시 인하,20.0,164.09580000000005,149.178,164.0958,1761.4877477785278,1597.3919477785278
휘발유,2022-05-01,수송용 유류세 30% 한시 인하 확대,30.0,246.14370000000008,223.767,246.14370000000002,2115.0363623484595,1868.8926623484595
휘발유,2022-07-01,수송용 유류세 37% 한시 인하 확대,37.0,303.5772299999999,275.97929999999997,303.57723,2391.0028576017357,2087.425627601736
휘발유,2023-01-01,"수송용 유류세 인하 유지(휘발유 25%, 경유 37%)",25.0,205.11975000000007,186.4725,205.11975,1863.3625279754249,1658.2427779754248
휘발유,2024-07-01,"수송용 유류세 인하 일부 환원(휘발유 20%, 경유 30%)",20.0,164.09580000000005,149.178,164.0958,1862.251190443072,1698.1553904430718
휘발유,2024-11-01,"수송용 유류세 인하 일부 환원(휘발유 15%, 경유 23%)",15.0,123.07185000000004,111.8835,123.07185000000001,1742.1080740642035,1619.0362240642035
휘발유,2025-05-01,"수송용 유류세 인하 일부 환원(휘발유 10%, 경유 15%)",10.0,82.04790000000003,74.589,82.0479,1792.7758548632155,1710.7279548632155
휘발유,2025-11-01,"수송용 유류세 인하 일부 환원(휘발유 7%, 경유 10%)",7.0,57.43353000000002,52.212300000000006,57.43353000000001,1753.3442383918452,1695.9107083918452
